#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
1 0.001723 0.002325 0.005429 0.002159 0.008718 0.001932 0.01467 0.001725 0.0136 0.002521 0.01319 0.002435 0.01718 0.002663 0.003676 0.03166 -0.04626 0.1079 -0.04494 0.09509 0.01 1.0 405.0
2 0.01221 0.004313 0.03735 0.004023 0.05415 0.003524 0.07369 0.003101 0.08224 0.00454 0.07989 0.004403 0.09507 0.004961 0.07173 0.0404 0.106 0.1167 0.03541 0.1032 0.01 1.0 608.0
3 0.05007 0.02673 0.02981 0.02435 0.1132 0.02177 0.2817 0.0192 0.3019 0.02824 0.3179 0.02721 0.4783 0.02361 0.06286 0.06733 -0.003773 0.1306 0.02806 0.118 0.01 1.0 21487.0
4 0.007884 0.004182 0.03725 0.004045 0.06913 0.003695 1.757 0.004924 0.1144 0.007505 0.1113 0.007084 0.1327 0.007088 0.02891 0.04481 0.01011 0.1271 -0.02808 0.1262 0.056 1.0 824.0
5 0.0154 0.009114 0.1012 0.008373 0.1693 0.007397 0.2609 0.006519 0.2818 0.00957 0.2893 0.009261 0.3132 0.01176 0.2764 0.05374 0.1906 0.1571 0.1184 0.1311 0.076 1.0 577.0
6 0.07346 0.005289 0.1647 0.005087 0.1863 0.004471 0.2087 0.00392 0.2181 0.005714 0.2246 0.005537 0.2274 0.005896 0.2753 0.04258 0.2247 0.1085 0.2067 0.09103 0.27375 1.0 1522.0
7 0.1219 0.01505 0.5471 0.01476 1.164 0.01391 1.317 0.01675 1.966 0.02464 1.979 0.02365 2.166 0.02488 -0.3542 0.07553 0.8744 0.3583 0.2853 0.2395 0.348 1.0 1867.0
8 0.005199 0.00566 0.0003473 0.005119 0.01194 0.004628 0.01629 0.004136 0.02284 0.006105 0.03054 0.005918 0.02308 0.00511 -0.01852 0.0418 -0.04595 0.138 -0.08919 0.1208 0.349 1.0 21357.0
9 1.431 0.02835 7.193 0.02865 19.63 0.02853 31.79 0.0257 41.19 0.03894 47.8 0.03867 55.02 0.02904 84.73 0.09765 55.52 0.9256 41.47 0.4706 0.435 1.0 1588.0
10 0.9927 0.01565 2.301 0.01513 3.916 0.01396 4.73 0.01136 5.247 0.01682 5.629 0.01641 6.091 0.01413 7.692 0.07741 4.812 0.2449 4.045 0.1882 0.4795 1.0 475.0
11 0.01285 0.002909 0.02148 0.002682 0.03195 0.002452 0.03306 0.002133 0.03429 0.003143 0.03496 0.003027 0.03452 0.004443 0.06132 0.03172 -0.1319 0.1319 -0.21 0.1185 0.534 1.0 503.0
12 -0.02284 0.03018 0.0009378 0.02755 0.0463 0.02513 0.09409 0.0227 0.08447 0.03323 0.152 0.03217 0.1786 0.02797 0.1495 0.0504 -0.1585 0.2139 -0.2214 0.179 0.549 1.0 21213.0
13 0.1007 0.007003 0.2828 0.006572 0.5478 0.00598 0.7505 0.00509 0.8386 0.00754 0.8916 0.007306 0.9836 0.006962 1.476 0.05323 1.258 0.1214 0.9518 0.09958 0.5825 1.0 927.0
14 0.01478 0.004431 0.02194 0.004203 0.03631 0.003839 0.03988 0.003524 0.03833 0.005146 0.04239 0.004963 0.05377 0.006725 0.04219 0.03649 -0.4029 0.2022 -0.3851 0.1812 0.596 1.0 2144.0
15 0.0007097 0.004575 0.001722 0.004256 0.0148 0.003929 0.0196 0.003583 0.01635 0.005249 0.02894 0.005094 0.0285 0.00564 0.02315 0.03615 0.005647 0.1419 -0.00686 0.1269 0.612 1.0 111.0
16 0.002393 0.001954 0.003411 0.001786 0.004619 0.001565 0.005265 0.00139 0.002752 0.002042 0.005042 0.001958 0.005705 0.001706 0.01805 0.02792 -0.08116 0.1392 -0.152 0.09028 0.612 1.0 20670.0
17 0.005151 0.002209 0.004882 0.002055 0.008351 0.001836 0.006584 0.002297 0.01123 0.003406 0.009022 0.00328 0.009879 0.002847 -0.0001083 0.02675 0.004673 0.1113 -0.1235 0.09481 0.8265 1.0 21665.0
18 0.005548 0.003275 0.006581 0.003007 0.0116 0.002591 0.01138 0.002461 0.01363 0.00338 0.01416 0.003315 0.01317 0.003158 0.0229 0.03209 -0.05893 0.1307 -0.0158 0.1147 0.8465 1.0 2294.0
19 0.03132 0.004171 0.03069 0.003774 0.05172 0.003416 0.04911 0.002956 0.0537 0.004364 0.0569 0.004201 0.04424 0.004907 0.09329 0.03777 0.05775 0.1324 0.0676 0.115 0.861 1.0 1136.0
20 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 0.0 -99.0 -0.005706 0.006073 -0.01491 0.006032 -0.2347 0.09267 -0.1482 0.07346 0.97 1.0 2259.0
21 0.03905 0.002106 0.03912 0.00187 0.05364 0.001722 0.05971 0.002123 0.06999 0.003102 0.05819 0.00298 0.07014 0.01778 0.2119 0.05356 0.05943 0.2537 0.07324 0.2108 0.98 1.0 138.0
22 0.9761 0.01518 1.463 0.01409 2.855 0.01297 4.233 0.01113 5.274 0.01664 5.667 0.01623 5.889 0.01336 9.495 0.0613 11.13 0.29 8.412 0.1722 1.01005 1.0 1149.0
23 0.1218 0.009841 0.1976 0.009282 0.453 0.008593 0.8331 0.007773 1.007 0.01143 1.127 0.01109 1.249 0.01092 1.637 0.05449 1.405 0.8604 1.375 0.4569 1.05 1.0 1853.0
24 0.01275 0.004016 0.01761 0.003862 0.02857 0.003563 0.04505 0.004836 0.04542 0.00727 0.03972 0.00677 0.0439 0.008955 -0.06596 0.03222 0.07692 0.1317 0.02779 0.1075 1.069 1.0 2322.0
