#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST
1 0.0003362 0.01271 0.002846 0.009351 0.007966 0.008314 0.02321 0.00889 0.01791 0.0114 0.02774 0.0114 0.04242 0.01128 -0.02018153 0.1312385 -0.1716342 0.08065976 -0.06706207 0.06585108 0.01
2 0.004408 0.007127 0.007768 0.005075 0.01297 0.004527 0.01981 0.003104 0.01979 0.003976 0.02038 0.003969 0.01998 0.004005 -0.04522999 0.1071118 -0.1006935 0.07860594 -0.07109421 0.07052028 0.041
3 42.64 0.07665 147.2 0.1766 313.7 0.08796 468.4 0.05645 529.6 0.08348 569.3 0.0789 620.1 0.04453 573.1 0.02665 243.5 4.127 159.8 2.561 0.0665
4 -0.0009657 0.005245 0.003592 0.003777 0.005656 0.003305 0.01084 0.002278 0.01325 0.002939 0.01354 0.002955 0.01217 0.002926 -0.05008587 0.1001755 -0.08529172 0.08105357 -0.0260403 0.07403789 0.1245
5 0.01879 0.01158 0.2036 0.01004 0.4074 0.007211 0.7223 0.009645 0.8412 0.01322 0.8117 0.01241 0.9645 0.01336 1.188 0.04466 0.4414 0.1373 0.1913 0.1075 0.173
6 0.1057 0.00816 0.1983 0.006705 0.2423 0.005112 0.2554 0.004507 0.2476 0.005591 0.2576 0.005481 0.2571 0.00676 0.1805971 0.08865475 0.01821079 0.1020819 -0.004589365 0.1000342 0.2225
7 0.003148 0.004243 0.02195 0.004198 0.03934 0.003041 0.05188 0.002669 0.06436 0.003649 0.05985 0.003264 0.05469 0.003914 0.1998 0.03963 -0.1456 0.203 -0.1304 0.1769 0.24500000476837158
8 -0.00023 0.002059 0.002726 0.00208 0.006222 0.001529 0.006366 0.001339 0.006801 0.001828 0.01168 0.001631 0.005418 0.001368 -0.02538 0.02309 -0.069 0.09921 0.05432 0.09511 0.26750001311302185
9 0.0134 0.007865 0.08869 0.007472 0.1773 0.005635 0.2323 0.004788 0.2515 0.006572 0.2787 0.005905 0.2673 0.006032 0.3235 0.04047 0.001829 0.1326 -0.06152 0.1229 0.2759000062942505
10 0.01114 0.005404 0.07624 0.005298 0.1502 0.003826 0.1901 0.004224 0.221 0.005693 0.2208 0.005451 0.2392 0.006308 0.3532 0.02859 0.124 0.1625 0.03356 0.1492 0.33
11 0.0334 0.00438 0.0766 0.004191 0.1 0.003819 0.1155 0.003502 0.1179 0.005508 0.131 0.004954 0.1313 0.005631 0.1941 0.04268 0.01559 0.1097 -0.07028 0.09845 0.3598
12 0.9302 0.01322 2.149 0.01299 3.656 0.0122 4.568 0.0101 5.159 0.01499 5.632 0.01469 6.077 0.01216 8.531 0.06122 4.585 0.2278 3.875 0.1545 0.365
13 0.3015 0.0141 2.337 0.01378 5.759 0.009786 8.658 0.01101 10.98 0.01595 12.56 0.01554 14.28 0.01105 22.04 0.03353 11.56 0.3439 9.075 0.2427 0.4012
14 0.01286 0.009192 0.1129 0.0087 0.2432 0.006203 0.3303 0.00547 0.3636 0.006881 0.3904 0.006322 0.4254 0.008103 0.4628 0.03453 0.1698 0.1009 0.1019 0.1301 0.45
15 0.04885 0.01534 0.5236 0.01283 1.51 0.01015 2.409 0.009202 2.884 0.01156 3.229 0.01153 3.611 0.01033 4.679169 0.09975846 2.607079 0.1538646 3.72315 0.1268326 0.474
16 0.0729 0.01092 0.3792 0.01111 0.8577 0.008343 1.202 0.007263 1.403 0.01023 1.493 0.009232 1.622 0.008292 1.971 0.04144 1.229 0.4241 0.8857 0.2776 0.4740000069141388
17 0.2026 0.01169 0.3353 0.01113 0.4586 0.007978 0.5512 0.008909 0.7015 0.01191 0.7453 0.0114 0.8656 0.02109 1.031 0.05837 1.223 0.1804 0.9475 0.1703 0.487
18 0.1424 0.02899 1.263 0.02798 3.958 0.01975 7.094 0.01103 9.012 0.01229 10.4 0.01471 12.19 0.01306 16.21581 0.1504872 10.58631 0.4170421 9.434037 0.3230818 0.4945
19 0.05551 0.008121 0.3707 0.007971 1.017 0.00561 1.518 0.006308 1.929 0.008786 2.267 0.008823 2.635 0.006756 4.185 0.02861 2.41 0.1202 1.988 0.104 0.54195
20 0.008431 0.005977 0.03321 0.005157 0.06862 0.003712 0.1002 0.003822 0.1041 0.004996 0.1182 0.004853 0.1301 0.005745 0.1143 0.03087 0.1236 0.08579 0.05476 0.08256 0.55
21 0.1318 0.02974 1.26 0.01999 4.027 0.01678 6.252 0.01194 7.836 0.01281 9.302 0.02043 10.53 0.01006 14.51788 0.1609716 11.66311 0.1190712 7.9643 0.08404673 0.5508999824523926
22 0.006628 0.005131 0.01414 0.004106 0.02253 0.003165 0.01521 0.002809 0.01212 0.003524 0.01675 0.003392 0.01685 0.00342 0.03847628 0.08197423 -0.01906594 0.09151082 -0.02136258 0.08455251 0.565
23 0.08887 0.008476 0.2258 0.008249 0.4132 0.005585 0.4813 0.005267 0.5207 0.006217 0.5447 0.006203 0.5652 0.006758 0.5707 0.03087 0.4904 0.09954 0.3219 0.1261 0.58
24 0.01135 0.01053 0.01897 0.007552 0.03829 0.006546 0.03415 0.004301 0.02657 0.005488 0.02358 0.005477 0.0371 0.006426 0.02371594 0.1036787 -0.09474424 0.08496603 -0.03080279 0.07875635 0.61545
