#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
1 -0.001196 0.003443 0.008151 0.003225 0.006044 0.002378 0.01368 0.002111 0.01107 0.00277 0.01115 0.002466 0.01605 0.002034 -0.003375 0.02693 -0.03935 0.2532 -0.09068 0.2346 0.009999999776482582 0.0 699.0
2 0.02394 0.01099 0.02205 0.008837 0.04057 0.007113 0.05349 0.006291 0.06523 0.008065 0.06201 0.007618 0.0658 0.0108 0.0100243 0.09855214 -0.1162846 0.09497751 -0.2050315 0.08299077 0.01 5.0 782.0
3 0.09003 0.006366 0.1284 0.00604 0.1861 0.004029 0.2177 0.003505 0.2285 0.004325 0.2364 0.003944 0.2257 0.004132 0.2048 0.02676 0.06252 0.1815 -0.01825 0.1893 0.094 3.0 1489.0
4 0.002719 0.00272 0.006914 0.002612 0.0174 0.002377 0.02671 0.002149 0.02755 0.003144 0.03029 0.003044 0.03555 0.004322 -0.001379 0.03091 -0.0226 0.1677 -0.09719 0.1247 0.3 1.0 1787.0
5 0.0334 0.00438 0.0766 0.004191 0.1 0.003819 0.1155 0.003502 0.1179 0.005508 0.131 0.004954 0.1313 0.005631 0.1941 0.04268 0.01559 0.1097 -0.07028 0.09845 0.3598 1.0 314.0
6 2.061 0.03053 5.397 0.03084 8.289 0.01917 11.4 0.01937 13.56 0.02477 14.76 0.02555 16.25 0.02683 17.8692 0.1878554 10.54897 0.2711737 12.2286 0.2731911 0.3845 4.0 2763.0
7 0.007575 0.005621 0.01972 0.004621 0.02846 0.003853 0.03559 0.003299 0.03167 0.004136 0.03561 0.004011 0.03931 0.007183 0.07989708 0.08189963 -0.08754674 0.2183008 0.02899088 0.2036919 0.45005 5.0 1456.0
8 6.623e-05 0.001892 0.00133 0.001958 0.002159 0.001471 0.003934 0.001305 0.006133 0.001746 0.003718 0.001579 0.005065 0.00135 0.02213 0.02818 0.02894 0.1524 -0.01623 0.1356 0.4855000078678131 0.0 20850.0
9 0.08241 0.03358 0.08612 0.02065 0.1179 0.01769 0.09613 0.01659 0.1437 0.02214 0.07147 0.02571 0.1621 0.01632 -0.009162116 0.0945565 -0.005294442 0.08824278 0.01146808 0.07273398 0.4995 6.0 2838.0
10 0.01417 0.01301 0.05633 0.008871 0.1196 0.007405 0.2199 0.006429 0.2713 0.007232 0.3927 0.01054 0.4205 0.007231 1.101027 0.2622772 0.6185284 0.8452361 0.4993931 0.6212025 0.507 6.0 831.0
