#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
1 0.195 0.007717 0.2084 0.006878 0.2204 0.004956 0.2673 0.004701 0.3327 0.006431 0.5041 0.00586 0.5734 0.005385 0.4537 0.03399 0.2684 0.1508 0.3109 0.1455 2.1935999393463135 0.0 68.0
2 0.02586 0.004379 0.02262 0.004283 0.01763 0.003159 0.0274 0.004245 0.03289 0.005659 0.04459 0.005077 0.05514 0.004972 0.07509 0.03162 -0.1818 0.1023 -0.2725 0.1074 2.17549991607666 0.0 89.0
3 0.05408 0.01559 0.06817 0.01611 0.06633 0.012 -10.15 0.01697 0.2338 0.02221 0.1578 0.01988 0.2249 0.0133 0.02786 0.04148 0.5046 0.6636 0.2108 0.4866 1.9605000019073486 0.0 132.0
4 0.003799 0.003907 0.02499 0.004055 0.04203 0.003004 0.04603 0.002741 0.05614 0.00372 0.05464 0.00333 0.05519 0.00388 0.1332 0.03942 -0.03786 0.1374 -0.1293 0.1314 1.9431999921798706 0.0 151.0
5 -0.0001604 0.004312 0.003327 0.0046 0.002927 0.003409 0.006211 0.003211 0.01364 0.004307 0.01239 0.003817 0.01563 0.003718 -0.004441 0.02791 -0.1308 0.1049 -0.04467 0.1089 1.9206000566482544 0.0 162.0
6 0.005961 0.003851 0.01183 0.003996 0.01265 0.002996 0.01388 0.002842 0.02473 0.003792 0.024 0.0034 0.02537 0.003933 0.0235 0.03215 -0.03973 0.1441 0.02444 0.1566 1.9817999601364136 0.0 165.0
7 0.006737 0.003195 0.009374 0.003317 0.01123 0.002473 0.0116 0.002349 0.01637 0.003126 0.01869 0.002829 0.02155 0.00294 -0.005074 0.02829 -0.1617 0.1118 -0.07058 0.1142 2.1514999866485596 0.0 166.0
8 0.0254 0.00529 0.03619 0.005441 0.05028 0.004072 0.06382 0.005027 0.1277 0.007132 0.1361 0.00624 0.1462 0.006514 0.1627 0.0351 0.4467 0.2206 0.4363 0.1789 2.0000998973846436 0.0 176.0
9 0.0006757 0.001809 0.003679 0.001884 0.002708 0.0014 0.003604 0.001308 0.009106 0.001755 0.006739 0.001573 0.008573 0.001854 0.008253 0.02737 -67.0 -67.0 0.07556 0.168 1.9144999980926514 0.0 180.0
10 0.03842 0.004254 0.03629 0.003879 0.03169 0.002782 0.02693 0.002482 0.03124 0.003363 0.02446 0.002986 0.03355 0.003394 0.05959 0.0383 -67.0 -67.0 -0.1092 0.1157 1.8590999841690063 0.0 192.0
