#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original
1 1.192 0.05158 8.673 0.0372 29.41 0.03234 48.35 0.1113 61.21 0.04041 62.52 51880000000.0 83.04 0.04265 116.9179 0.2505407 94.76151 0.691256 66.50074 0.4140663 0.5389999747276306 6.0 218.0
2 0.4526 0.04706 2.3 0.03241 7.532 0.02832 13.09 0.02233 17.37 0.02231 20.83 0.03921 24.36 0.01672 35.87556 0.1820684 29.43616 0.2870091 -67.0 -67.0 0.5419999957084656 6.0 275.0
3 0.05226 0.0144 0.04776 0.009108 0.09892 0.007782 0.1424 0.01019 0.1112 0.007694 0.198 2737000000.0 0.1589 0.01172 0.1168991 0.125651 -67.0 -67.0 -67.0 -67.0 0.8735 6.0 302.0
4 0.03633 0.009087 0.04654 0.00583 0.04807 0.004884 0.04119 0.004525 0.04856 0.004431 0.07078 0.007438 0.08778 0.00586 -0.004675515 0.1268668 -67.0 -67.0 -67.0 -67.0 2.623 6.0 311.0
5 0.006085 0.006833 0.006315 0.004395 0.01169 0.003928 0.01536 0.004239 0.01478 0.004404 0.02182 0.007364 0.03158 0.004336 -0.05670527 0.1179562 -67.0 -67.0 -67.0 -67.0 2.664999 6.0 318.0
6 0.01637 0.006946 0.03108 0.004316 0.02622 0.003751 0.03052 0.003856 0.03831 0.003849 0.06631 0.006278 0.06644 0.005235 0.01943192 0.1194394 -67.0 -67.0 -67.0 -67.0 2.4695 6.0 323.0
7 0.01016 0.005822 0.009157 0.003718 0.01797 0.003172 0.02031 0.002389 0.02467 0.002546 0.03257 0.004095 0.03148 0.003701 0.01094074 0.1077612 -67.0 -67.0 -67.0 -67.0 0.8745 6.0 328.0
8 0.02888 0.006838 0.02425 0.004254 0.02227 0.003587 0.01539 0.004174 0.0207 0.004181 0.03017 0.006776 0.02459 0.004421 0.02084796 0.1036971 -67.0 -67.0 -67.0 -67.0 2.2514 6.0 329.0
9 0.003449 0.005507 0.02197 0.003763 0.08385 0.003378 0.02341 0.002764 0.03212 0.003138 -0.02161 0.004418 0.034 0.003787 0.09643885 0.1187878 -67.0 -67.0 -67.0 -67.0 4.310001 6.0 333.0
10 0.06103 0.009073 0.05114 0.005838 0.03678 0.004874 0.02866 0.004209 0.03273 0.00476 0.04388 0.006788 0.06387 0.005145 0.0435841 0.1204673 0.0715682 0.08646092 0.001503537 0.07884288 2.3315 6.0 336.0
11 0.005051 0.004732 0.005045 0.002953 0.004213 0.002513 0.007458 0.003019 0.006472 0.002986 0.01056 0.00495 0.0147 0.004052 0.02917914 0.09243698 -67.0 -67.0 -67.0 -67.0 3.7995 6.0 343.0
12 0.1288 0.01617 0.1531 0.01063 0.1495 0.009149 0.1859 0.007541 0.2955 0.00857 0.4775 0.01217 0.624 0.009828 0.8960698 0.1811371 -67.0 -67.0 -67.0 -67.0 2.4265 6.0 349.0
13 -0.001177 0.004687 -0.0009018 0.002992 0.007958 0.002627 0.02138 0.002407 0.02114 0.002672 0.02217 0.004001 0.02234 0.003135 0.1195134 0.09695593 -67.0 -67.0 -67.0 -67.0 5.664 6.0 354.0
14 0.02708 0.006612 0.02031 0.004415 0.01486 0.003637 0.02763 0.002584 0.03423 0.002939 0.03066 0.004161 0.03527 0.003634 -0.02725017 0.107731 -0.03265484 0.1081483 0.121764 0.09115163 1.562 6.0 355.0
15 0.02728 0.008875 0.03741 0.005844 0.03313 0.004937 0.03516 0.004963 0.02391 0.005111 0.03236 0.008137 0.03383 0.007449 0.1620359 0.101822 -67.0 -67.0 -67.0 -67.0 1.1565 6.0 357.0
16 0.0007727 0.005581 0.01079 0.003734 0.02294 0.003262 0.02302 0.002734 0.02388 0.003141 0.02325 0.004663 0.02796 0.003629 0.05069403 0.1115787 -67.0 -67.0 -67.0 -67.0 0.6 6.0 359.0
17 0.08518 0.01348 0.2325 0.009204 0.3718 0.007899 0.4774 0.006466 0.4904 0.007251 0.574 0.01079 0.6197 0.008298 0.7465983 0.1584495 -67.0 -67.0 -67.0 -67.0 0.5265 6.0 360.0
18 0.009395 0.006276 0.008164 0.003937 0.01316 0.003352 0.01213 0.002082 0.01253 0.002393 0.01839 0.003552 0.01717 0.002731 0.03000421 0.09910853 -67.0 -67.0 -67.0 -67.0 0.549 6.0 361.0
19 -0.001023 0.005889 0.003579 0.003843 0.0262 0.003315 0.05448 0.002813 0.043 0.003197 0.05095 0.004475 0.05044 0.004174 0.04841876 0.1131307 -67.0 -67.0 -67.0 -67.0 5.614001 6.0 362.0
20 0.01951 0.005902 0.02121 0.003837 0.01997 0.003293 0.02379 0.002835 0.02374 0.003187 0.03505 0.004818 0.03677 0.004013 0.04244353 0.1106216 -67.0 -67.0 -67.0 -67.0 2.585 6.0 363.0
21 0.006118 0.01006 0.06167 0.006648 0.1759 0.005729 0.2897 0.006798 0.318 0.006718 0.3884 0.01117 0.4153 0.008228 0.4546022 0.1267441 -67.0 -67.0 -67.0 -67.0 0.655 6.0 368.0
22 0.1113 0.01681 0.5302 0.0115 1.578 0.009988 2.356 0.01148 2.939 0.01104 3.505 0.01961 3.906 0.01075 4.879043 0.144163 -67.0 -67.0 -67.0 -67.0 0.5163999795913696 6.0 369.0
23 0.002312 0.005954 0.00358 0.003796 0.004933 0.003236 0.007499 0.002383 0.01071 0.002496 0.01493 0.003979 0.01754 0.003045 0.04624644 0.1004113 -67.0 -67.0 -67.0 -67.0 2.22475 6.0 371.0
24 0.003826 0.006676 0.01294 0.004307 0.03708 0.003685 0.06012 0.003172 0.06315 0.003524 0.06972 0.005057 0.08464 0.004641 0.08339078 0.1157836 -67.0 -67.0 -67.0 -67.0 0.6499 6.0 372.0
25 0.03664 0.00739 0.03683 0.004768 0.07269 0.004193 0.07736 0.003471 0.08028 0.003869 0.09257 0.005611 0.09331 0.005494 0.106038 0.1130649 -67.0 -67.0 -67.0 -67.0 0.7205 6.0 373.0
26 0.05903 0.0123 0.1357 0.008016 0.1841 0.006775 0.2946 0.008016 0.4396 0.007997 0.6786 0.01331 0.8612 0.009131 1.521133 0.1327445 -67.0 -67.0 -67.0 -67.0 2.4345 6.0 374.0
27 0.0109 0.01526 0.1216 0.01024 0.3678 0.009078 0.6123 0.007701 0.7073 0.008714 0.8532 0.0125 0.9566 0.009557 1.100293 0.1801973 -67.0 -67.0 -67.0 -67.0 0.63555 6.0 376.0
28 0.04558 0.009483 0.04017 0.006025 0.09416 0.005101 0.09946 0.006225 0.1319 0.006119 0.175 0.01022 0.1541 0.007899 0.163747 0.1400954 -67.0 -67.0 -67.0 -67.0 0.87 6.0 383.0
29 0.05861 0.008134 0.06197 0.005107 0.06108 0.00426 0.05483 0.003659 0.06396 0.004104 0.07412 0.005836 0.1056 0.005241 0.2006098 0.1246616 -67.0 -67.0 -67.0 -67.0 2.625899 6.0 384.0
30 0.03245 0.01045 0.02177 0.006495 0.08163 0.005779 0.126 0.005576 0.1481 0.005807 0.191 0.009649 0.205 0.008839 0.1769351 0.1318782 -67.0 -67.0 -67.0 -67.0 0.89 6.0 388.0
31 0.04016 0.008504 0.03467 0.005479 0.04048 0.004799 0.08017 0.005425 0.08799 0.005591 0.1008 0.009166 0.1145 0.007021 -0.05867891 0.1303708 -67.0 -67.0 -67.0 -67.0 1.4515 6.0 390.0
32 0.009115 0.00528 0.007592 0.003406 0.01889 0.002877 0.01666 0.003559 0.02328 0.003474 0.04238 0.005924 0.03531 0.00443 -0.003000783 0.1113338 -67.0 -67.0 -67.0 -67.0 3.538 6.0 391.0
33 0.003232 0.005289 0.002721 0.00336 0.01077 0.002914 0.01745 0.002494 0.01551 0.002853 0.01776 0.003949 0.02828 0.0034 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 4.2705 6.0 392.0
34 0.01588 0.007617 0.01638 0.004865 0.01348 0.004123 0.03212 0.003477 0.03601 0.003958 0.05074 0.00587 0.04615 0.005571 -0.03215761 0.1174674 -67.0 -67.0 -67.0 -67.0 1.502 6.0 394.0
35 -0.002392 0.004391 -0.0006517 0.002798 -0.0006478 0.002428 0.003556 0.002068 0.01079 0.00238 0.01856 0.003386 0.01661 0.002687 -67.0 -67.0 -67.0 -67.0 -67.0 -67.0 6.915051 6.0 396.0
36 0.1171 0.01336 0.1765 0.008592 0.4177 0.007351 0.5927 0.006092 0.7206 0.006846 0.8408 0.009939 0.9013 0.006886 1.348336 0.134607 -67.0 -67.0 -67.0 -67.0 0.925 6.0 397.0
37 0.01779 0.008192 0.06553 0.005637 0.08126 0.004685 0.07374 0.004048 0.0692 0.004572 0.072 0.006544 0.0853 0.007251 0.09428084 0.128564 -67.0 -67.0 0.1676567 0.071082 3.434 6.0 398.0
38 0.01118 0.008283 0.02103 0.005146 0.03665 0.004553 0.06034 0.003283 0.06546 0.003744 0.07127 0.005585 0.08702 0.004634 0.006673319 0.1196609 -67.0 -67.0 -67.0 -67.0 0.01 6.0 399.0
39 0.0665 0.01025 0.05961 0.006628 0.0684 0.005716 0.1532 0.005005 0.1832 0.005636 0.2262 0.008537 0.2385 0.007097 0.329716 0.136716 -67.0 -67.0 -67.0 -67.0 1.5445 6.0 400.0
40 0.3176 0.05494 3.951 0.03752 15.74 0.03223 26.69 0.03213 36.0 0.0349 42.68 0.05581 50.41 0.04579 81.97392 0.286015 -67.0 -67.0 -67.0 -67.0 0.5440000295639038 6.0 401.0
41 -0.002993 0.004822 -0.0002742 0.003211 0.0008507 0.002799 0.01519 0.002428 0.01194 0.00274 0.01924 0.004102 0.01958 0.003508 0.03508623 0.09811792 -67.0 -67.0 -67.0 -67.0 6.384501 6.0 402.0
42 -0.0007066 0.006913 0.0035 0.004788 0.007683 0.004021 0.01159 0.004136 0.01972 0.004252 0.03198 0.006932 0.02095 0.005133 0.009984295 0.09838995 -67.0 -67.0 -67.0 -67.0 1.815 6.0 403.0
43 0.001406 0.006447 0.001418 0.004194 0.01598 0.003707 0.08241 0.003679 0.07835 0.004003 0.08296 0.00639 0.07664 0.00539 0.07777423 0.112528 -67.0 -67.0 -67.0 -67.0 6.203799 6.0 404.0
44 0.007184 0.005778 0.004224 0.00388 0.01054 0.0033 0.01672 0.002893 0.02202 0.00331 0.02653 0.00475 0.02931 0.004088 -0.06668781 0.1011363 -67.0 -67.0 -67.0 -67.0 0.01 6.0 405.0
45 0.009732 0.005883 0.02003 0.003821 0.02319 0.003218 0.0476 0.002782 0.04366 0.003126 0.0507 0.004476 0.05952 0.004077 0.03333766 0.1184674 -67.0 -67.0 -67.0 -67.0 1.22 6.0 408.0
46 0.008054 0.008546 0.04239 0.005618 0.05713 0.004705 0.05244 0.005442 0.05817 0.005518 0.08485 0.009071 0.08397 0.008279 0.1993398 0.121594 0.4014781 0.1343944 -67.0 -67.0 3.3 6.0 409.0
