#       id              ff           errff              cov
#
         1    2.115054e+00    4.792195e-01        0.878943
         2    5.391378e-01    9.387010e-02        2.018306
         3    1.125012e+01    6.152429e-01        3.768623
         4    1.584516e+03    1.359641e+01        0.209394
         5    2.346763e+01    3.533655e-01        0.942492
         6    1.867915e+01    3.937585e-01        7.120673
         7    4.319562e+00    1.095133e+00        2.553586
         8    2.377810e+00    8.840896e-01        4.083621
         9    1.592327e+02    3.064721e+00        0.312781
        10    5.181639e+02    8.895269e+00        0.489209
        11   -6.709680e+00    7.198051e-01        5.077672
        12    2.746243e+00    1.395738e-01        6.974191
        13    3.197312e+01    4.909009e-01        0.490795
        14    2.912131e-01    8.772758e-02        0.395688
        15    2.361308e-01    8.781658e-02        0.378484
        16    4.737520e-01    8.316632e-02        0.526879
        17    5.638034e+01    8.944166e-01        0.092338
        18    6.792060e+00    2.027510e-01        0.483610
        19    3.827432e-01    8.390956e-02        2.146357
        20    3.367760e+01    5.784164e-01        0.578963
        22    1.178754e-01    1.240527e-01        9.530676
        24    2.367397e-01    1.125085e-01        1.300808
        25    1.658221e-01    2.316766e-01        0.879867
        26    4.629515e-01    1.053200e-01        2.843215
        28    5.348569e-01    2.104802e-01        0.694327
        29   -2.143290e-01    3.338519e-01        0.622620
        30    2.468065e+00    4.362842e-01        1.393280
        31    2.400128e-01    8.930088e-02        0.521829
        32   -1.238319e+00    6.126896e-01        0.700389
        33   -2.758749e-01    1.982194e-01        0.782878
        34    1.100719e-01    1.394251e-01        1.095481
        35   -6.782421e-01    3.680693e-01        1.182941
        36    4.648898e-01    2.275351e-01        1.758561
        37    8.584949e-02    9.089492e-02        0.387950
        38    1.290874e-01    5.881996e-01        0.713590
        39   -1.902542e-01    1.471205e-01        3.296358
        40    6.467050e-01    8.649112e-02        2.137596
        41    3.662862e+01    1.166634e+00        0.199387
        42   -1.423202e+00    3.897012e-01        0.486406
        43    2.157676e-01    2.173781e-01        0.904881
        44    2.086332e-02    9.247380e-02        0.770061
        45    1.520518e-01    1.500705e-01        1.855083
        46    4.779833e-01    1.047819e-01        1.420742
        47    1.877414e-01    8.900964e-02        4.110644
        48    1.941132e-02    1.392213e-01        2.195045
        49    1.385237e-01    9.615669e-02        0.491426
        50    6.903755e-01    8.480960e-02        1.367963
        51    1.853119e+00    1.090691e-01        0.569790
        52    8.485977e-02    1.100345e-01        4.303205
        53    1.862127e-01    1.794952e-01        0.874642
        54   -3.087975e-01    2.225408e-01        0.863383
        55   -4.035620e-01    1.101431e-01        4.800529
        56   -5.191806e-02    1.870300e-01        1.564803
        57    1.361165e+00    9.795050e-02        0.811729
        58    5.557482e+01    8.453991e-01        0.142371
        59    1.068637e-01    1.197213e-01        3.022118
        60    3.417946e+01    5.083282e-01        0.213749
        61    7.103932e-01    1.554566e-01        0.545432
        62    2.092773e-01    1.030634e-01        0.648968
        63    1.188746e-01    1.022952e-01        0.442338
        64   -2.308285e-01    1.526316e-01        3.316082
        65    3.100276e-01    1.034807e-01        0.632994
        66   -2.402435e-02    9.786190e-02        2.612072
        67    1.942088e-01    2.865669e-01        0.789018
        68    1.309627e-01    1.091346e-01        0.578769
        69    5.061013e+00    2.630892e-01        0.831791
        70    2.830258e-01    8.713222e-02        3.612465
        71   -3.832405e-01    3.264981e-01        0.842105
        72    1.384756e-01    2.703624e-01        1.247314
