#       id              ff           errff              cov
#
         1    1.904119e+00    2.435370e-01        0.509819
         2   -2.217818e-02    8.484362e-02        0.004518
         3    1.599342e+01    3.120012e-01        0.012487
         4    1.887420e+03    8.488014e-02        0.001180
         5    3.715421e+01    1.852763e-01        0.000027
         6    1.013288e+01    2.814480e-01        0.072309
         7    8.047808e+00    2.348808e-01        0.809798
         8    4.959815e+00    1.687851e-01        0.028691
         9    3.991570e+02    9.261608e-02        0.000074
        10    1.308269e+03    8.997638e-02        0.003618
        11    7.753629e+00    2.238941e-01        0.017891
        12    1.932137e+00    1.153784e-01        0.001807
        13    1.930423e+01    1.732530e-01        0.000253
        14    3.345250e-02    7.953577e-02        0.000273
        15    1.359252e-02    8.996280e-02        0.000214
        16    4.131512e-02    7.535494e-02        0.000067
        17    3.790510e+01    1.447701e-01        0.004273
        18    3.065863e+00    1.124960e-01        0.027222
        19    4.975567e-02    8.455785e-02        0.000079
        20    4.989661e+01    1.450928e-01        0.001434
        22    5.022232e-02    6.083417e-02        0.030480
        24    1.028215e-01    9.582975e-02        0.006765
        25   -4.129943e-02    9.676702e-02        0.036791
        26   -3.078943e-02    5.890454e-02        0.032510
        28    2.736141e-01    9.829025e-02        0.152852
        29    1.979062e-02    9.539102e-02        0.328531
        30    2.240870e+00    1.256229e-01        0.001913
        31    6.393124e-02    7.913311e-02        0.003084
        32    1.419443e-01    1.239443e-01        0.234601
        33    1.980074e-02    7.517907e-02        0.059788
        34    1.507462e-01    1.076665e-01        0.127389
        35    1.697460e-03    6.898796e-02        0.218294
        36    1.506532e-01    9.204040e-02        0.145079
        37    2.295920e-02    8.005273e-02        0.000488
        38    1.782389e-01    1.077257e-01        0.758360
        39   -3.726576e-02    6.495412e-02        0.006677
        40    3.691190e-02    9.553681e-02        0.001983
        41    5.280668e+00    2.292208e-01        0.080015
        42    3.102751e-01    1.019171e-01        0.008621
        43    2.842313e-01    7.947756e-02        0.355839
        44   -7.777987e-03    8.791186e-02        0.000405
        45    6.591654e-02    6.690998e-02        0.001328
        46    1.005627e-01    9.174875e-02        0.007881
        47   -2.323187e-03    1.842418e-02        0.017519
        48   -9.566646e-03    6.018132e-02        0.009751
        49   -4.924082e-02    8.901385e-02        0.002706
        50    1.332342e-01    9.705824e-02        0.000001
        51    1.187113e+00    8.943820e-02        0.035101
        52    4.195230e-02    7.309134e-02        0.006610
        53    8.511192e-02    7.796809e-02        0.298934
        54    6.923513e-02    8.397172e-02        0.318770
        55    3.206458e-02    7.417353e-02        0.003064
        56    1.661826e-01    8.747181e-02        0.237505
        57    1.851057e+00    1.088229e-01        0.000078
        58    3.569421e+01    1.188988e-01        0.002319
        59    3.079810e-01    7.576647e-02        0.001777
        60    1.865782e+01    1.449932e-01        0.000016
        61    5.294855e-02    9.182549e-02        0.026546
        62    3.590474e-02    8.232112e-02        0.022442
        63    1.054514e-01    9.871324e-02        0.004504
        64    8.489462e-02    7.331828e-02        0.001134
        65    1.383813e-01    8.653271e-02        0.037498
        66   -6.589437e-02    4.341033e-02        0.002163
        67    1.981582e-01    1.004096e-01        0.217418
        68    1.059053e-02    8.183128e-02        0.022712
        69    4.328349e+00    9.642703e-02        0.122977
        70    1.331580e-02    7.282542e-02        0.000221
        71    9.982470e-02    6.607100e-02        0.000074
        72    5.272622e-01    1.034518e-01        0.000492
        73   -1.199526e-01    8.483803e-02        0.059461
        74    5.752756e-01    9.388365e-02        0.003256
        75   -4.354694e-02    7.789169e-02        0.361296
        76    6.439465e-02    1.172386e-01        0.003933
        77    3.664162e-01    8.462000e-02        0.000106
        78    3.935796e+00    1.238076e-01        0.001676
        79   -9.279842e-02    7.909395e-02        0.001615
        80    3.546457e-02    8.441751e-02        0.001815
        81    1.167726e+01    2.107938e-01        0.132377
        82    4.312928e-02    8.309183e-02        0.001463
        83    2.516320e+00    1.046850e-01        0.104340
        84    6.330228e-01    1.297794e-01        0.002711
        85    1.374519e-02    9.494946e-02        0.000067
        86    1.705332e-01    9.087997e-02        0.000018
        87    7.335360e-02    7.146953e-02        0.001378
        88    9.538724e-02    7.908751e-02        0.000929
        89    1.339613e+00    1.162941e-01        0.169928
        90    9.391332e-02    1.099866e-01        0.001088
        91    1.848625e-03    9.629593e-02        0.098052
        92    5.766615e-01    9.678679e-02        0.021348
        93   -6.877135e-02    9.103053e-02        0.109724
        94   -4.403262e-03    8.643871e-02        0.000001
        95    1.758663e-01    1.051448e-01        0.008046
        96    1.637113e-02    7.832314e-02        0.073177
        97    1.213435e+00    1.288104e-01        0.025739
        98    7.844808e-02    9.417117e-02        0.119347
        99   -1.051862e-02    7.692782e-02        0.033793
       100   -3.683926e-02    7.709610e-02        0.000144
       101   -1.141046e-01    7.419915e-02        0.002927
       102    1.279629e+00    1.131621e-01        0.038229
       103   -3.038369e-02    8.428344e-02        0.012522
       104   -3.699334e-02    7.904455e-02        0.001310
       105    1.155653e-01    8.902951e-02        0.355121
       106    2.496905e-01    1.025409e-01        0.132832
       107    1.904825e-01    1.033291e-01        0.000135
       108   -1.784217e-01    1.369502e-01        0.150079
       109    2.455404e-02    1.092729e-01        0.030240
       110    1.987479e-01    9.406327e-02        0.031596
       111    2.367492e-02    7.250742e-02        0.000415
       112    6.306428e-02    1.131706e-01        0.028193
       113    1.707089e-02    7.512831e-02        0.008106
       114   -5.080092e-02    8.799000e-02        0.180397
       115    1.742814e-01    9.159011e-02        0.058357
       116    1.738015e+01    8.661806e-02        0.000041
       117    6.832565e-02    7.522041e-02        0.000097
       118    8.068478e+00    1.372222e-01        0.004628
       119    6.475288e+00    1.598286e-01        0.008255
       120    6.851544e-02    7.322464e-02        0.000407
