#       id              ff           errff              cov
#
         1    3.828568e+01    3.093855e-01        0.055792
         2    5.159103e-01    4.462182e-02        0.158621
         3    2.081607e+00    1.548257e-01        0.222785
         4    3.491411e-01    4.719587e-02        0.171289
         5    3.437267e+01    2.706477e-01        0.680167
         6    1.929376e+01    1.536395e-01        0.044254
         7    4.367839e-01    1.125568e-01        2.805267
         8    1.374334e+00    4.721354e-02        0.151105
         9    1.266385e+01    1.094387e-01        0.230888
        10    3.758543e+00    9.033629e-02        2.228532
        11   -2.215265e-01    6.077833e-01        0.969598
        12    1.385452e+00    2.032499e-01        1.190817
        13    1.391046e+00    4.585465e-02        0.224095
        14   -2.752539e+00    1.062392e+00        0.922682
        15    1.737435e+00    5.145152e-02        0.179479
        16    6.399294e-01    4.934323e-02        0.315733
        17    7.426112e-01    5.482268e-01        1.697905
        18    1.111299e+03    4.975345e+00        0.029072
        19    3.455492e-02    8.774798e-02       13.101463
        20    4.992778e+01    3.788971e-01        0.172204
        21    3.980375e-01    5.291968e-02        0.475803
        22    2.324500e+00    6.032514e-02        2.660084
        23    2.544345e-01    4.857348e-02        0.325819
        24   -4.452166e+00    6.238685e-01        0.957876
        25    4.773412e-01    5.141719e-02        0.504016
        26    1.476286e+01    1.550711e-01        0.516854
        27    1.865706e+00    4.862748e-02        3.016628
        28    2.790000e-01    4.889969e-02        0.148227
        29   -2.041025e+01    4.033982e+00        2.330801
        30    3.145933e-01    5.747904e-02        1.636378
        31   -1.167091e+01    5.179338e+00        0.407372
        32    7.954604e-01    4.457235e-02        0.226135
        33   -1.980421e+01    4.464980e+00        2.341287
        34    3.507158e-01    8.407418e-02        4.479840
        35    2.824889e+00    2.209803e-01        4.289593
        36    3.048168e-01    4.624161e-02        9.720325
        37    4.260376e+00    8.541144e-02        0.593695
        38    1.617375e+00    5.708603e-02       16.316994
        39    1.437308e+00    2.348578e-01        0.448202
        40    9.818429e+00    1.089198e-01        2.102870
        41   -9.078255e-02    1.688605e-01        4.826538
        42    1.102898e+00    7.326012e-02        0.806976
        43   -6.062189e-01    1.305771e-01        3.764898
        44    1.907408e-01    4.436691e-02        0.967695
        45    1.023788e-01    4.979536e-02        3.028995
        46    6.886573e-01    4.658293e-02        3.285357
        47    1.016605e+00    4.981773e-02        1.165369
        48    1.237591e+01    1.166628e-01        0.462893
        49    1.612667e+00    5.049313e-02        8.976329
        50    1.767429e+00    5.682983e-02        0.476517
        51    4.760384e-01    5.124761e-02        0.428024
        52    2.932650e-01    4.664792e-02        0.335203
        53    2.053841e+00    5.209032e-02        0.385017
        54    1.437322e+00    1.139875e-01        6.504521
        55    2.999856e-01    5.574174e-02        1.078326
        56    8.003189e-01    4.877695e-02        0.382321
        57    2.028814e-01    4.784860e-02        0.504032
        58    1.460143e-01    6.252304e-02        1.442975
        59    2.962115e-01    9.735812e-02        0.703841
        60   -3.983609e-02    2.299211e-01        4.726765
        61   -3.311908e+00    6.566619e-01        0.347565
        62    1.320648e-01    6.031642e-02        0.449970
        63    4.149036e-02    5.162755e-02        1.320810
        64   -1.859498e-01    4.594919e-02        9.953375
        65    5.348954e-01    4.459143e-02        0.498232
        66    1.765458e+00    5.167930e-01        1.742737
        67    5.259671e-01    2.034263e-01        1.339800
        68   -3.316528e+01    1.566846e+00        1.165597
        69    2.414711e-01    5.527084e-02        0.562856
        70    2.742689e-02    6.261849e-02        0.893132
        71    1.804363e-01    1.508257e-01        2.584042
        72    4.126113e-01    6.282430e-02        0.581392
        73    4.175606e+00    7.775335e-02        0.692081
        74    4.187473e-01    5.657083e-02        0.480890
        75    4.119624e-01    1.453122e-01        0.464073
        76    1.725735e+02    7.297822e-01        0.143022
        77    1.518324e+00    5.533761e-02       12.163913
        78    1.806660e+01    1.532614e-01        0.417183
        79    5.171949e+00    5.404148e-01        2.464184
        80    1.606240e+01    1.359829e-01        0.265185
        81    6.225233e-03    4.151884e-02        0.357841
        82    1.414771e+00    4.820324e-02        0.520310
        83    1.371742e-01    6.994941e-02        0.522941
        84    1.117631e-01    7.096022e-02        0.437554
        85    5.532593e-01    4.894328e-02        1.000284
        86    1.003277e-01    4.993217e-02        0.464321
        87    1.693217e-02    4.450318e-02        0.406992
        88    3.555976e-01    4.513408e-02        0.604099
        89    1.466714e+00    5.250785e-02        0.441342
        90    9.433385e-01    7.686193e-02       13.835348
        91    1.104962e-01    7.117403e-02        0.746851
        92    3.032351e-01    4.642193e-02        5.081562
        93    2.721993e-01    4.615245e-02        0.590229
        94    6.384367e-01    5.636170e-02        0.453188
        95    7.107866e-01    5.785605e-02        0.742702
        96    1.829231e+00    7.478269e-02        1.048175
        97    3.683684e+01    2.922243e-01        0.125783
        98    2.620938e-01    4.727546e-02        0.670607
        99    7.274404e-01    4.910710e-02        0.498078
       100    3.046478e-01    4.505649e-02        0.803342
       101    5.664665e+01    5.049431e-01        0.336767
       102    8.555632e-02    4.734449e-02        0.367950
       103    5.562882e-01    6.267647e-02        0.639261
       104    4.832223e+00    6.156068e-02        0.386099
       105    7.178600e-01    5.243820e-02       13.839067
       106    1.200798e+01    1.097495e-01        0.184134
       107    3.323145e-01    4.654281e-02        0.468364
       108    6.239670e+00    6.805801e-02        0.531932
       109    1.737528e-01    4.876621e-02        0.364553
       110    1.129050e+00    6.937261e-02        0.688455
       111   -8.724224e-02    6.465677e-02        3.201487
       112    4.224373e+01    4.031756e-01        0.528235
       113   -1.098242e-01    4.419607e-02        0.664183
       114    5.183254e-01    5.669640e-02        0.525578
       115    6.077011e-01    6.483851e-02        0.654416
       116   -3.190488e-01    8.775253e-02        0.229652
       117    2.373035e+01    2.146543e-01        0.477772
       118    1.204991e-02    5.995755e-02        0.401826
       119    3.364124e-01    5.849887e-02        0.331489
       120    1.835128e+00    5.041113e-02        0.529797
       121    3.005442e+00    5.919273e-02        0.545411
       122    2.477862e-01    6.805027e-02        0.570539
       123    5.759651e+01    4.353339e-01        0.294631
       124   -5.607352e-03    4.477641e-02        0.524141
       125    2.566590e-01    4.899520e-02       12.363143
       126    3.626826e-01    4.696525e-02        0.768348
       127    2.287560e-01    6.680766e-02        0.742334
       128    2.320235e+00    5.487384e-02        0.654971
       129    3.065039e+00    5.182095e-02        0.670673
       130    2.880393e-01    4.718523e-02        0.924728
       131    6.825318e-01    4.857819e-02        1.214901
       132    3.375624e-01    1.267356e-01        0.305295
       133   -2.291793e-01    5.615834e-02        4.515815
       134   -1.755201e-01    4.773854e-02       12.866994
       135    7.664761e-01    4.620584e-02        1.014369
       136    6.815554e+00    8.264680e-02        0.379221
       137    5.349655e+00    1.044688e-01        0.377656
       138    2.785200e+01    1.956120e-01        0.078779
       139    1.665158e+00    6.598991e-02        0.590054
       140    1.348887e+00    7.682450e-02       20.909159
       141    1.507335e-01    6.148863e-02        0.727665
       142    9.162048e-01    6.530722e-02        0.938829
       143    1.027785e-01    5.526930e-02        0.503377
       144    7.567301e-02    4.953998e-02        0.614318
       145    4.896206e-02    4.752596e-02        0.583232
       146    1.779804e+01    1.546917e-01        0.165170
       147    4.928354e+01    5.008734e-01        0.156994
       148    6.600873e-01    4.851265e-02        0.713993
       149   -1.456306e-01    5.614259e-02        3.857483
       150   -4.951739e-02    4.684136e-02        0.498130
       151    4.320599e-01    6.405208e-02        0.489252
       152    4.976851e+00    6.759833e-02        0.532998
       153    2.427575e-01    5.229140e-02        0.517554
       154    6.792005e-02    4.908490e-02        0.673358
       155    7.477980e-01    6.620714e-02        0.425150
       156    5.423539e-02    5.046886e-02        0.831761
       157    1.819366e-01    4.819952e-02        0.759850
       158    7.248729e-01    5.488051e-02        0.638559
       159    6.248906e-01    5.388500e-02        0.438607
       160    6.177725e+00    7.372678e-02        0.725915
       161   -7.502776e-02    4.707869e-02        7.204928
       162    2.306854e+01    1.655125e-01        0.211569
       163    6.047693e-01    4.900340e-02       20.448174
       164    2.543314e-01    4.963102e-02        0.966799
       165    1.621144e+00    5.825947e-02        0.398220
       166    1.739307e+00    1.658865e-01        0.263456
       167    6.680130e+00    8.162575e-02        0.388768
       168    1.452526e-01    5.105402e-02        9.400464
       169    8.922327e-02    6.271077e-02        0.824611
       170    9.983341e-01    5.153948e-02        0.990033
       171    3.779806e-01    9.342833e-02        0.776450
       172    2.192944e-01    4.983445e-02        7.273754
       173    2.487617e+00    8.095785e-02        0.337251
       174    1.273532e-01    7.984439e-02        0.696872
       175    1.844697e+02    1.311478e+00        0.165373
       176    3.670174e-01    9.922215e-02        0.466454
       177    7.821805e+00    9.851520e-02        1.148297
       178    1.277971e-01    4.716364e-02        0.902853
       179    2.593318e-01    6.038262e-02        0.704731
       180    6.441896e+00    7.374575e-02        2.136198
       181    1.151332e+00    1.917631e-01        0.598645
       182    1.438605e-01    4.826321e-02        1.706047
       183    6.201175e-01    9.722848e-02        0.716946
       184    1.214181e-01    5.530474e-02        1.386119
       185    1.244293e+02    6.827886e-01        0.323979
       186    2.472690e-01    8.644365e-02        0.614551
       187    1.170386e+00    5.661601e-02        0.898989
       188   -6.973741e-02    5.108671e-02        0.593583
       189    2.566857e-02    4.651820e-02        0.867732
       190    3.964680e+00    8.636927e-02        1.388107
       191    2.165931e-01    4.882432e-02        1.006884
       192    4.432819e-01    7.251926e-02        0.820842
       193    3.072698e+00    6.362222e-02        0.411616
       194    5.426772e+00    1.218147e-01        1.277735
       195    5.896388e-01    4.479565e-02        1.703703
       196   -7.216302e-02    4.855711e-02        5.092796
       197    1.223159e-02    4.609877e-02        0.798062
       198    3.483782e+00    6.561267e-02        0.293967
       199   -1.065418e-01    6.046643e-02        0.507621
       200    9.899972e-03    4.516294e-02        1.233447
       201    7.893033e-02    5.328840e-02        1.225833
       202    5.585110e-01    4.802269e-02        0.457318
       203    6.999562e-01    5.048290e-02        1.192836
       204    2.720157e-01    6.944841e-02        0.639813
       205    7.028151e-01    7.642359e-02        0.871848
       206    2.415711e-01    5.410492e-02        0.814143
       207    1.109694e+00    5.804530e-02        0.572325
       208    2.249862e-01    4.933502e-02        0.497326
       209   -5.514876e-01    4.645250e-02       11.379807
       210   -7.251539e-01    2.094971e-01        0.402545
       211    2.102606e-01    4.977062e-02        1.322403
       212   -1.076806e-01    4.577879e-02        2.435730
       213    1.082730e+00    7.061501e-02        0.383308
       214   -2.056707e-02    4.537134e-02        1.209335
       215   -1.605153e-01    1.017255e-01        0.460189
       216    1.930067e-01    4.889727e-02        1.740864
       217    8.148059e+00    1.003919e-01        0.667334
       218    6.650074e+01    4.140663e-01        0.606786
       219    6.077741e+01    4.967147e-01        0.457821
       220    1.957969e+00    8.304692e-02        0.935465
       221    5.546885e+00    2.563180e-01        0.451450
       222    8.064362e-03    5.194402e-02        0.435163
       223    3.737990e-01    7.240118e-02        0.853613
       224    4.327986e+00    7.280011e-02        1.053742
       225    1.823985e+00    5.851580e-02        0.734546
       226   -2.406167e+00    3.100994e-01        0.580661
       227    1.846136e-01    4.657725e-02        1.620313
       228    2.143761e+00    6.912014e-02        1.024260
       229    2.622499e+00    5.202236e-02        1.537778
       230    5.552132e-01    4.747503e-02        1.329597
       231    5.893691e-01    1.389876e-01        0.285982
       232    7.582629e-01    4.907873e-02        1.270037
       233    5.485995e-01    1.097657e-01        0.658027
       234   -3.746766e-01    1.064803e-01        0.360205
       235    3.143421e-01    7.349417e-02        0.881637
       236    1.909413e-01    4.706437e-02        0.947865
       237   -2.813493e-01    1.106428e-01        0.647636
       238    8.312458e-02    9.135707e-02        0.610114
       239    2.368483e+00    1.946738e-01        0.564913
       240    2.588339e+01    1.997942e-01        0.780641
       241    6.633035e-01    6.497320e-02        0.495197
       242    7.476632e-01    4.579387e-02        1.525967
       243    4.735717e-01    6.599827e-02        1.041232
       244    6.071308e-01    4.644226e-02        2.619002
       245    2.276578e+01    3.144228e-01        1.413242
       246    2.436010e-01    5.271918e-02        1.427587
       247    2.075985e+01    5.188165e-01        0.550700
       248    6.640266e-01    8.974510e-02        0.793993
       249    2.905894e-01    4.722141e-02        2.649531
       250    4.525070e-01    5.187353e-02        0.436347
       251    1.395988e-01    1.419842e-01        0.274038
       252    2.631377e-01    4.642348e-02        2.283416
       253    4.711349e-02    7.886413e-02        1.070260
       254    9.527493e-02    6.713757e-02        1.601176
       255   -1.482321e-01    6.932613e-02        1.091459
       256    4.453667e-02    7.194983e-02        0.465676
       257    2.135111e-01    1.333327e-01        0.362912
       258    8.878227e-01    4.835217e-02        0.929445
       259    3.773074e+00    5.814898e-02        3.496448
       260    1.660580e+00    7.539862e-02        1.061553
       261    5.223509e-01    4.754961e-02        0.709542
       262   -9.701440e-02    5.053888e-02        1.119345
