#ID b_B435 b_errB435 b_V606 b_errV606 b_I814 b_errI814 b_Y105 b_errY105 b_J125 b_errJ125 b_JH140 b_errJH140 b_H160 b_errH160 b_Ks b_errKs b_CH1 b_errCH1 b_CH2 b_errCH2 ZBEST field ID_original UID
1 0.04369 0.007268 0.07305 0.007108 0.06514 0.005123 0.1145 0.006619 0.1238 0.008902 0.1321 0.008018 0.1651 0.0099 0.212 0.03969 0.4571 0.1664 0.3506 0.1623 1.475000023841858 0.0 22.0 0_22
2 0.01286 0.007042 0.03033 0.007063 0.05684 0.00516 0.06203 0.005731 0.09463 0.008186 0.08778 0.006769 0.1002 0.008088 0.1552 0.04276 0.3559 0.2076 0.428 0.1802 1.7482999563217163 0.0 36.0 0_36
3 0.05305 0.005672 0.1142 0.005672 0.1323 0.004161 0.1445 0.005509 0.1614 0.007501 0.1933 0.006748 0.2424 0.006629 0.2368 0.03385 -67.0 -67.0 -67.0 -67.0 2.841099977493286 0.0 42.0 0_42
4 0.6388 0.01251 0.6734 0.01086 0.9532 0.007982 1.683 0.0106 1.792 0.01559 1.797 0.01326 1.882 0.01343 2.16 0.04399 2.218 0.1325 1.965 0.1236 1.2769999504089355 0.0 44.0 0_44
5 0.195 0.007717 0.2084 0.006878 0.2204 0.004956 0.2673 0.004701 0.3327 0.006431 0.5041 0.00586 0.5734 0.005385 0.4537 0.03399 0.2684 0.1508 0.3109 0.1455 2.1935999393463135 0.0 68.0 0_68
6 0.06373 0.006242 0.06003 0.005912 0.06435 0.004331 0.09585 0.004088 0.1235 0.005685 0.1314 0.004942 0.1192 0.005707 0.193 0.04166 0.1832 0.1733 0.2067 0.1703 1.7174999713897705 0.0 71.0 0_71
7 0.2399 0.01077 0.6223 0.01064 0.7678 0.007736 0.8887 0.007299 1.139 0.01033 1.574 0.009247 2.022 0.007713 2.515 0.04005 3.425 0.1403 3.547 0.1364 2.7300000190734863 0.0 75.0 0_75
8 0.1006 0.006068 0.09126 0.005636 0.1092 0.004171 0.1484 0.003844 0.1884 0.005246 0.1915 0.004711 0.1665 0.005514 0.1581 0.03708 0.5087 0.2004 0.4861 0.186 1.6640000343322754 0.0 108.0 0_108
9 0.6029 0.01032 0.6973 0.008602 0.7897 0.006227 1.15 0.007669 1.701 0.0115 1.59 0.0101 1.197 0.007895 1.486 0.03243 2.156 0.1117 2.373 0.1162 1.63100004196167 0.0 129.0 0_129
10 0.001552 0.007985 0.03555 0.007828 0.05837 0.005816 0.0832 0.003929 0.09217 0.005204 0.09075 0.004668 0.09844 0.005843 0.1491 0.03672 0.7091 0.1816 0.6156 0.1428 3.9565000534057617 0.0 133.0 0_133
11 0.22 0.008302 0.2574 0.007833 0.3087 0.005811 0.4441 0.007428 0.4368 0.01033 0.461 0.009131 0.4871 0.009714 0.4554 0.03855 0.6307 0.123 0.4529 0.1298 1.1924999952316284 0.0 134.0 0_134
12 0.287 0.0127 0.3219 0.01242 0.3655 0.009185 0.7397 0.008567 0.9502 0.01175 0.9428 0.01047 0.926 0.01116 1.11 0.0587 1.246 0.3006 1.258 0.2533 1.5835000276565552 0.0 136.0 0_136
13 0.1199 0.00825 0.1324 0.008103 0.1456 0.00595 0.3018 0.005577 0.3636 0.008188 0.3836 0.006775 0.3998 0.007559 0.5382 0.04632 -67.0 -67.0 0.6975 0.1183 1.5115000009536743 0.0 143.0 0_143
14 1.75 0.02312 2.255 0.02165 4.087 0.01621 8.142 0.01461 9.756 0.02101 11.92 0.01919 14.12 0.01391 18.87 0.05669 26.55 0.734 29.42 0.6707 1.2404999732971191 0.0 147.0 0_147
15 0.567 0.01463 0.621 0.01382 0.8389 0.01021 1.483 0.009302 1.614 0.01286 1.716 0.01153 1.989 0.009987 2.182 0.05906 3.828 0.3086 3.495 0.311 1.3899999856948853 0.0 161.0 0_161
16 1.69 0.02353 2.145 0.01843 2.665 0.01356 4.113 0.009821 5.886 0.01475 5.895 0.01314 4.998 0.0107 5.865 0.04671 9.05 0.3026 10.18 0.2573 1.680299997329712 0.0 163.0 0_163
17 0.03251 0.004928 0.03864 0.004869 0.03652 0.003576 0.05889 0.003384 0.08302 0.004606 0.08197 0.004101 0.07056 0.005051 0.1112 0.0389 -0.8174 0.3959 -0.8569 0.3658 1.7386000156402588 0.0 164.0 0_164
18 0.006824 0.004691 0.0255 0.004961 0.0832 0.003768 0.0879 0.003598 0.09512 0.004866 0.09393 0.004354 0.09165 0.004833 0.2073 0.03375 0.4271 0.1278 0.3865 0.1369 4.473999977111816 0.0 169.0 0_169
19 0.7168 0.0158 0.7795 0.009873 0.8238 0.006806 1.082 0.003698 1.613 0.006262 1.48 0.0055 0.8979 0.003417 0.776 0.03073 -67.0 -67.0 -67.0 -67.0 1.6100000143051147 0.0 170.0 0_170
20 0.07645 0.006438 0.09633 0.006223 0.08851 0.004447 0.09579 0.003992 0.1343 0.005721 0.1499 0.004852 0.1912 0.005489 0.21 0.04174 -67.0 -67.0 -67.0 -67.0 2.3329999446868896 0.0 172.0 0_172
21 0.0254 0.00529 0.03619 0.005441 0.05028 0.004072 0.06382 0.005027 0.1277 0.007132 0.1361 0.00624 0.1462 0.006514 0.1627 0.0351 0.4467 0.2206 0.4363 0.1789 2.0000998973846436 0.0 176.0 0_176
22 0.05373 0.005886 0.09804 0.005976 0.1194 0.004457 0.1197 0.00423 0.131 0.005702 0.1446 0.005122 0.1908 0.005517 0.2467 0.03526 0.4419 0.1375 0.4115 0.1467 2.9695000648498535 0.0 187.0 0_187
23 0.07342 0.009068 0.1107 0.008879 0.1317 0.006445 0.1587 0.005876 0.1998 0.007928 0.2699 0.00714 0.3301 0.007583 0.4302 0.04971 0.5957 0.1563 0.4732 0.1405 2.4856998920440674 0.0 201.0 0_201
24 0.9782 0.018 0.9764 0.01194 1.089 0.00854 1.407 0.00501 1.299 0.007255 1.385 0.006583 1.354 0.00585 1.252 0.03543 2.096 0.5638 1.787 0.4394 1.1825000047683716 0.0 202.0 0_202
25 0.03615 0.008188 0.05634 0.00763 0.06278 0.005726 0.05457 0.003614 0.08712 0.004918 0.112 0.004429 0.1268 0.005455 0.1558 0.04092 0.2627 0.118 0.3352 0.11 2.2600998878479004 0.0 216.0 0_216
26 0.003645 0.006302 0.05536 0.006479 0.1132 0.004724 0.1591 0.004275 0.1656 0.005788 0.1739 0.005196 0.1772 0.005759 0.2718 0.04313 -67.0 -67.0 0.4839 0.1039 4.051499843597412 0.0 220.0 0_220
27 0.01917 0.005106 0.03214 0.005171 0.03012 0.00385 0.03088 0.00524 0.04231 0.00733 0.05153 0.006416 0.07564 0.007124 0.06986 0.03569 -0.1174 0.1558 0.02378 0.149 2.618000030517578 0.0 234.0 0_234
28 0.02644 0.009042 0.1475 0.008368 0.2931 0.006191 0.4108 0.005373 0.4668 0.007439 0.4693 0.006653 0.4749 0.006731 0.5424 0.03965 1.051 0.1128 0.9909 0.1062 2.3036000728607178 0.0 256.0 0_256
29 -0.005984 0.005681 0.006242 0.006044 0.01821 0.004541 0.03827 0.004253 0.04124 0.005746 0.03685 0.00513 0.05369 0.00611 0.04028 0.03698 0.4968 0.2317 0.5891 0.1804 5.248700141906738 0.0 263.0 0_263
30 0.6807 0.01424 0.7478 0.01323 1.138 0.009796 2.127 0.008796 2.354 0.01245 2.577 0.01118 2.866 0.009117 3.357 0.04291 4.176 0.1758 4.309 0.163 1.371999979019165 0.0 273.0 0_273
31 0.07591 0.007162 0.1076 0.007156 0.1317 0.005279 0.1746 0.004783 0.1723 0.00652 0.1824 0.005833 0.1896 0.006419 0.3785 0.04603 0.3358 0.1235 0.3232 0.1507 1.1399999856948853 0.0 283.0 0_283
32 0.1295 0.01181 0.1934 0.0103 0.1974 0.007244 0.1703 0.004734 0.1815 0.006353 0.1907 0.005711 0.2204 0.006268 0.3035 0.04493 -0.1009 0.3875 0.1416 0.3583 2.9885001182556152 0.0 284.0 0_284
33 0.2398 0.009378 0.2982 0.008835 0.4505 0.006551 0.7699 0.005898 0.8678 0.008263 0.9474 0.007423 1.007 0.006846 1.141 0.03709 1.33 0.313 1.233 0.302 1.2285000085830688 0.0 296.0 0_296
34 0.4245 0.01044 0.4368 0.009296 0.5143 0.006812 0.9133 0.006115 0.9387 0.00852 0.7939 0.007568 0.9292 0.007947 0.7983 0.04406 0.7875 0.2615 0.8481 0.2377 1.371999979019165 0.0 301.0 0_301
35 0.1611 0.00678 0.1658 0.006321 0.1606 0.004651 0.1601 0.004213 0.1907 0.005781 0.2298 0.005184 0.2437 0.005394 0.3837 0.03452 0.6405 0.1681 0.6907 0.1417 2.241499900817871 0.0 304.0 0_304
