BEAGLE_ID, FIELD
 716 0.0
 1290 0.0
 1388 0.0
 1449 0.0
 1464 0.0
 1578 0.0
 1748 0.0
 2022 0.0
 2035 0.0
 213 2.0
 343 2.0
 542 2.0
 720 2.0
 804 2.0
 805 2.0
 810 2.0
 1049 2.0
 1196 2.0
 1397 2.0
 1782 2.0
 1858 2.0
 157 4.0
 288 4.0
 307 4.0
 357 4.0
 619 4.0
 647 4.0
 701 4.0
 909 4.0
 981 4.0
 1063 4.0
 1090 4.0
 1092 4.0
 1093 4.0
 1178 4.0
 1265 4.0
 1268 4.0
 1283 4.0
 1289 4.0
 1357 4.0
 1504 4.0
 1528 4.0
 1529 4.0
 1570 4.0
 1652 4.0
 1748 4.0
 1796 4.0
 1797 4.0
 1835 4.0
 1847 4.0
 1849 4.0
 1948 4.0
 1960 4.0
 2008 4.0
 2030 4.0
 2093 4.0
 2095 4.0
 2149 4.0
 2164 4.0
 2456 4.0
 2496 4.0
 2840 4.0
 27 6.0
 144 6.0
 193 6.0
 260 6.0
 426 6.0
 438 6.0
 826 6.0
 1219 6.0
 1599 6.0
 1919 6.0
 2491 6.0
