#       id              ff           errff              cov
#
         1    2.719681e+00    2.046403e-01        2.059758
         2    7.159430e+00    1.162950e-01        0.146473
         3    2.649184e+01    4.657009e-01        0.463568
         4    1.546949e+00    9.259014e-01        0.582945
         5    3.524158e+00    5.331045e-01        0.944060
         6    2.319781e-01    9.857993e-02        0.436885
         7    7.956683e-02    9.532393e-02        1.627744
         8   -1.183227e-01    1.276440e-01        1.311408
         9   -1.153898e-01    7.652602e-02        0.231910
        10   -1.133788e-01    1.871172e-01        1.864577
        11    3.228649e+01    3.605516e-01        1.269145
        12    1.174686e-01    1.027118e-01        0.666147
        13   -2.624690e-01    9.817582e-02        0.112842
        14    1.685272e-01    1.024014e-01        0.670195
        15    2.542334e-01    8.727599e-02        0.367203
        16   -1.115706e-01    4.718637e-01        1.853039
        17    2.424793e-01    1.077342e-01        0.600129
        18    1.264817e-01    1.014636e-01        0.676601
        19    1.675458e-01    6.343082e-01        1.349092
        20    1.117930e-02    7.928771e-02        0.264440
        21   -4.006147e-01    9.998520e-02        1.048949
        22   -7.170231e-01    1.692684e-01        1.290796
        23    5.302490e+01    5.483321e-01        0.495847
        24    3.167302e-01    1.109850e-01        0.545383
        25    2.854936e+00    2.516214e-01        4.282804
        26    2.335265e+00    1.025830e-01        2.391423
        27    4.967279e-01    9.889902e-02        0.686825
        28    2.193942e+00    4.125160e-01        0.590807
        29    1.005087e+00    1.014365e-01        0.456956
        30    2.624516e-01    1.061434e-01        0.520808
        31   -9.793770e-02    7.746520e-02        0.358347
        32    2.992538e-01    8.938296e-02        2.025065
        33    7.656028e-02    1.221687e-01        0.654451
        34    4.408866e-02    1.028954e-01        0.769416
        35    1.756310e+00    1.254199e-01        0.664980
        36   -1.341928e-01    9.978620e-02        0.589280
        37    1.713749e+00    1.859696e-01        0.542531
        38    6.784005e-01    1.393495e-01        0.843348
        39    1.084670e-01    9.883166e-02        0.395041
        40    3.185218e+01    3.738871e-01        0.211971
        41    6.937160e-01    7.991659e-02        0.467204
        42    3.636341e-01    8.078221e-02        0.457245
        43   -2.677418e-01    9.420669e-02        1.179322
        44    1.076157e-01    8.467691e-02        0.457531
        45    4.246297e-02    1.117496e-01        0.733767
        46    6.873363e+00    1.386891e-01        0.471591
        47   -1.716142e-01    1.306133e-01        0.572560
        48   -4.378795e-02    1.266359e-01        0.728295
        49   -5.650943e-01    8.147598e-02        0.408444
        50    1.759269e+00    8.130778e-02        0.389218
        51   -2.180183e-01    9.738595e-02        0.339180
        52    4.198648e+01    4.402305e-01        0.189599
        53   -3.305614e-01    8.950343e-02        0.586926
        54    6.078960e-02    7.149750e-02        0.184040
        55    7.263587e-02    8.355809e-02        0.388343
        56    6.996045e-03    1.474195e-01        0.753543
        57   -2.455653e-01    7.799960e-02        0.272636
        58   -8.631343e-02    1.411680e-01        0.838951
        59   -1.450582e-01    1.208118e-01        0.800209
        60    3.422670e+00    2.723567e-01        0.399467
        61   -4.290904e-01    1.072420e-01        0.650739
        62   -2.485055e-01    8.242228e-02        0.259876
        63   -3.751997e-01    1.223412e-01        0.500026
        64    9.347723e-01    1.249734e-01        0.596287
        65   -6.705575e-01    1.160034e-01        0.530871
        66   -8.501892e-02    9.773660e-02        0.431461
        67    6.183507e-01    1.142135e-01        0.607877
        68    1.132851e+00    8.836725e-02        0.596448
        69    6.089441e-01    7.358184e-02        0.647169
        70   -5.069305e-01    8.897139e-02        0.520660
        71    2.490483e-01    7.993709e-02        0.936383
        72    5.206313e-01    7.388330e-02        0.565836
        73    7.111834e-01    1.319936e-01        1.076968
        74    8.819853e-02    9.474567e-02        0.776383
        75    2.397217e-01    7.862214e-02        0.457625
        76   -8.299052e-02    9.183168e-02        0.610740
        77   -8.762113e-01    3.313338e-01        0.311642
        78   -2.616103e-01    1.336071e-01        0.689263
        79    1.066112e-01    9.055631e-02        0.628063
        80    1.812399e-01    1.338043e-01        0.687234
        81    8.964744e-01    1.195018e-01        0.606740
        82    4.143647e-01    8.747119e-02        0.369716
        83   -1.143143e-01    7.432617e-02        0.610224
        84    2.266322e+01    2.021502e-01        0.456356
        85   -8.918884e-01    1.212998e-01        0.616493
        86   -5.550100e-01    9.110222e-02        0.955437
        87    4.945953e-01    1.059510e-01        0.706385
        88    9.739602e-01    1.023756e-01        1.014571
        89   -4.189373e-02    1.891962e-01        1.302186
        90    1.326347e-01    2.917361e-01        0.604132
        91    5.873622e-01    9.200396e-02        1.131766
        92    5.772874e-01    9.464229e-02        0.830220
        93    7.692677e-01    1.066395e-01        0.328187
        94    4.861596e+00    1.393583e-01        0.747770
        95    5.446555e-01    1.937465e-01        0.672861
        96    6.775454e-02    1.988191e-01        1.300761
        97    8.558456e-02    8.927464e-02        0.775783
        98   -2.655700e-01    8.272872e-02        0.566965
        99   -2.260644e-02    1.791277e-01        0.787169
       100    2.986467e-01    1.096981e-01        0.668416
       101    1.537365e-01    7.994626e-02        0.447070
       102    2.290995e-01    4.496706e-01        0.960401
       103    1.500103e+00    7.604557e-02        0.237237
       104   -1.376489e-01    8.001535e-02        0.436270
       105    1.935928e+00    9.372041e-02        0.503949
       106    2.035405e-01    1.117568e-01        0.886815
       107    2.660296e-01    1.513662e-01        1.493243
       108    7.303892e+01    6.078604e-01        0.495891
       109    1.895014e+01    2.875199e-01        0.743015
       110    2.475234e-01    8.412737e-02        0.363818
       111    1.570206e-01    9.676718e-02        0.926730
       112    2.550131e+01    7.573438e-01        0.868675
       113    5.107647e+00    2.038281e-01        0.684465
       114   -1.330488e-01    3.029342e-01        0.633520
       115    3.943525e-01    1.174235e-01        0.579429
       116    3.414207e-01    1.047885e-01        0.727584
       117    2.926656e+01    3.687523e-01        0.474460
       118    3.812995e-01    8.957662e-02        0.644045
       119    2.882563e+01    2.874025e-01        0.351302
       120   -3.086744e+00    5.528085e-01        0.635466
       121   -7.998840e-01    1.011526e-01        0.632487
       122    2.194668e+01    3.414434e-01        0.522081
       123    2.032310e+00    8.411858e-02        0.330103
       124    1.198464e+01    1.130896e+00        0.976180
       125    2.547623e-01    1.118868e-01        0.587533
       126   -3.713352e-01    3.481524e-01        0.532001
       127    3.121346e-01    8.587927e-02        0.547146
       128   -1.056192e-01    1.405273e-01        0.558572
       129    6.837659e-01    9.939663e-02        0.652749
       130    1.456606e-01    1.030013e-01        0.546874
       131   -1.940214e-01    1.247751e-01        0.708509
       132    4.093390e+00    1.688809e-01        0.799741
       133   -1.557474e-01    8.357290e-02        0.470798
       134   -1.987634e-01    7.782143e-02        0.568432
       135   -1.089108e+00    2.162401e-01        0.608145
       136   -1.467414e-02    2.065895e-01        0.691844
       137   -4.224481e-01    1.083591e-01        0.584054
       138    2.954158e+00    9.463061e-02        0.413721
       139   -3.235934e-01    8.720102e-02        0.353624
       140    3.574604e+00    8.934606e-02        0.368935
       141    5.280182e+00    1.133953e-01        0.319062
       142   -7.436538e-02    1.488111e-01        0.614976
       143    4.608974e-01    9.717248e-02        0.825223
       144    1.454095e+00    1.193788e-01        0.743680
       145    1.074856e+00    1.531050e-01        0.885934
       146    2.278637e+01    2.255885e-01        1.244025
       147    3.602248e+01    4.324200e-01        0.383578
       148    1.040983e-01    9.297294e-02        0.671214
       149    1.220785e-01    1.752789e-01        0.675959
       150    2.129439e-02    1.280115e-01        0.786150
       151   -3.362458e-01    3.992510e-01        0.743650
       152   -8.727227e-02    7.221042e-02        0.977460
       153    9.510520e+01    6.616108e-01        0.026600
       154   -6.655316e-01    3.244042e-01        1.126388
       155    1.826579e-01    7.686531e-02        0.454009
       156   -5.176569e-01    1.083897e-01        0.543971
       157   -1.978502e-01    1.109117e-01        0.576297
       158    3.742189e-01    8.652291e-02        0.554479
       159   -1.064333e-01    9.862351e-02        0.589340
       160    7.432320e-01    1.142197e-01        0.640819
       161    1.991376e-01    1.243786e-01        0.470601
       162    1.867434e+01    2.408150e-01        0.496709
       163   -1.353229e-01    7.050613e-02        0.237561
       164    4.513803e-01    7.672074e-02        1.064791
       165    1.859322e-02    7.003607e-02        0.322839
       166    6.724824e-02    7.275558e-02        0.258006
       167   -1.932202e-01    9.263541e-02        0.746921
       168    5.716841e-01    1.034726e-01        0.416743
       169   -1.688095e-01    8.561521e-02        0.450125
       170    5.199443e-01    9.452331e-02        0.450540
       171    1.398708e+00    1.261257e-01        0.306710
       172    3.182883e-01    1.010186e-01        0.750679
       173    2.592395e-01    8.284653e-02        0.491103
       174    4.420059e-02    7.572009e-02        0.651712
       175    5.807453e-01    7.687026e-02        0.455110
       176    1.331068e+00    9.973051e-02        0.470436
       177    2.167321e-01    7.281445e-02        0.383067
       178    4.938296e-01    9.795684e-02        0.464999
       179    2.000919e+01    2.252879e-01        0.411784
       180    2.304771e+00    1.039528e-01        1.143935
       181   -1.699124e+00    2.616479e-01        0.452361
       182   -2.843619e-01    7.545204e-02        0.699705
       183    3.019324e-01    8.940275e-02        0.433389
       184    1.758021e+01    3.510834e-01        0.523418
       185    1.529244e-01    7.024761e-02        0.323116
       186    1.451826e+01    1.296736e-01        3.916451
       187    9.351726e-01    2.597832e-01        0.518331
       188    1.026012e+00    4.181983e-01        0.802807
       189    1.555155e-01    1.620274e-01        0.903267
       190    1.075877e-01    7.471292e-02        0.481772
       191   -8.753955e-02    2.477821e-01        0.556180
       192    1.659839e-01    1.525662e-01        0.584119
       193    2.587799e-01    7.457417e-02        0.415259
       194    4.558934e+00    1.008148e-01        0.277788
       195    5.099308e-01    7.942590e-02        0.940560
       196    5.681095e-01    1.301709e-01        0.687210
       197   -2.159740e-01    9.645242e-02        0.449732
       198    1.794733e+00    1.587990e-01        1.544919
       199    1.346923e-01    6.574076e-02        0.432453
       200    1.169262e-01    1.447074e-01        0.528224
       201    8.944701e-02    1.062690e-01        0.585270
       202    1.397086e+00    2.587343e-01        0.518742
       203    7.327389e-02    8.823711e-02        0.569258
       204   -2.379738e-01    8.527395e-02        0.583305
       205    2.847961e+00    1.274723e-01        0.819379
       206    4.597680e+01    4.532526e-01        0.331932
       207    2.172723e-01    9.464905e-02        0.603964
       208    5.310352e-01    6.889141e-02        0.288564
       209    2.412897e-01    1.785375e-01        0.920501
       210    1.673954e+00    8.297377e-02        1.428511
       211    3.446208e-02    1.079118e-01        0.561647
       212    1.257461e-01    6.511106e-02        0.255156
       213    5.384246e-01    1.524989e-01        1.414524
       214    5.323015e+00    1.239700e-01        0.964959
       215    7.841754e+00    1.094957e-01        0.212565
       216    1.518739e-01    7.772297e-02        0.481421
       217   -2.185015e-01    1.094897e-01        0.515849
       218    4.570443e-02    1.439170e-01        1.505729
       219    2.504208e-02    1.253075e-01        0.863089
       220   -4.906865e-01    2.149391e-01        0.278815
       221    8.053932e-01    2.355059e-01        0.529028
       222    6.827419e-01    1.204313e-01        0.849867
       223    1.879768e+00    7.977499e-02        0.327713
       224    4.417246e-01    1.354794e-01        2.848360
       225    1.837963e-02    4.304785e-01        0.757656
       226    3.533201e-01    1.627737e-01        0.627912
       227   -3.984985e-01    3.329240e-01        0.647106
       228    5.673519e-01    7.557104e-02        0.388120
       229    2.520449e-01    8.436359e-02        0.622730
       230    1.048745e-01    9.884081e-02        0.836790
       231    1.705133e-01    1.056658e-01        0.540894
       232    3.029594e-01    8.661272e-02        0.675793
       233   -3.047754e-01    1.243126e-01        0.745243
       234    5.542041e-01    6.846668e-02        0.276021
       235    9.381526e-02    1.246356e-01        0.741386
       236   -5.597484e-02    1.056263e-01        0.894247
       237   -7.141960e-02    9.062510e-02        0.638190
       238    1.784978e-02    8.847420e-02        1.807736
       239    2.822502e-01    8.193456e-02        0.442333
       240    2.050475e-01    8.214340e-02        2.163155
       241    3.905137e-01    8.265704e-02        0.714125
       242    7.847046e-02    8.955447e-02        2.163364
       243    2.810496e-01    8.171751e-02        2.088713
       244    1.265384e-01    7.110762e-02        0.647260
       245   -1.812378e-01    1.353535e-01        0.772230
       246    6.901515e-02    1.132356e-01        0.460759
