#       id              ff           errff              cov
#
         1    2.055077e+00    3.079792e-01        0.852986
         2    6.153058e-01    8.484698e-02        1.346245
         3    1.182497e+01    4.069779e-01        2.420807
         4    1.052021e+03    8.137137e+00        0.100617
         5    2.417449e+01    2.373014e-01        0.445368
         6    1.784653e+01    3.321006e-01        5.698745
         7    2.787146e+00    7.486845e-01        1.204299
         8    2.500957e+00    4.105230e-01        6.513675
         9    1.073959e+02    1.373109e+00        0.153228
        10    3.577324e+02    4.267316e+00        0.365851
        11   -5.947888e+00    4.181309e-01        5.772686
        12    3.772336e+00    1.228744e-01        4.970031
        13    2.635471e+01    2.904534e-01        0.269849
        14    2.883320e-01    8.149870e-02        0.402905
        15    2.605189e-01    8.284791e-02        0.389889
        16    4.958944e-01    7.877384e-02        0.343942
        17    4.011028e+01    4.659250e-01        0.106973
        18    8.553795e+00    1.686875e-01        0.493887
        19    2.661786e-01    7.820420e-02        0.824950
        20    3.538595e+01    4.248697e-01        0.251135
        22    3.901962e-02    1.189225e-01        4.912892
        24    1.165139e-01    1.138232e-01        0.455023
        25    4.015547e-01    1.924778e-01        0.840076
        26    1.196197e-01    1.016226e-01        1.242469
        28    3.745847e-01    1.819954e-01        0.639850
        29   -2.775443e-01    2.842191e-01        0.647020
        30    1.231236e+00    3.400569e-01        0.797479
        31    1.137944e-01    8.918571e-02        0.626312
        32   -5.315917e-01    4.121440e-01        0.679072
        33   -3.035579e-01    1.675240e-01        0.755172
        34    1.160845e-01    1.301301e-01        1.003670
        35   -7.654670e-01    3.199693e-01        1.022210
        36    3.791738e-01    1.658194e-01        1.558996
        37    4.716118e-02    8.789730e-02        0.372865
        38   -1.333029e-01    4.513227e-01        0.720159
        39   -4.912604e-02    1.375885e-01        0.905644
        40    3.178099e-01    8.181069e-02        1.225302
        41    2.430961e+01    5.572262e-01        0.236695
        42   -1.203631e+00    2.358970e-01        0.417311
        43    1.264252e-01    1.935545e-01        0.856646
        44    6.705562e-03    8.958374e-02        0.462314
        45   -5.476360e-02    1.298213e-01        1.521888
        46    4.941192e-01    9.624807e-02        1.371301
        47    3.581877e-02    7.653225e-02        2.322330
        48   -1.345555e-01    1.212006e-01        1.129624
        49    1.279751e-01    9.339026e-02        0.514576
        50    4.964560e-01    8.147972e-02        0.671471
