#       id              ff           errff              cov
#
         1    5.885421e+01    1.471248e-01        0.001559
         2    4.516723e-01    1.066349e-01        0.002144
         3    2.228467e-01    1.121117e-01        0.002686
         4    2.741745e-01    1.051161e-01        0.001201
         5    6.071347e+01    1.635947e-01        0.002458
         6    3.166541e+01    1.457676e-01        0.002628
         7    1.387193e+01    1.005514e-01        0.184750
         8    3.525207e-01    1.030371e-01        0.001590
         9    1.723351e+01    1.421380e-01        0.001952
        10    3.489861e+01    1.344841e-01        0.105868
        11    2.314214e+00    1.097653e-01        0.355000
        12   -3.589188e+00    1.295363e-01        0.776145
        13    8.946989e-01    1.041484e-01        0.001973
        14   -5.721952e+00    2.002434e-01        1.106801
        15    9.650152e-01    1.217480e-01        0.001816
        16    4.829304e-01    1.091166e-01        0.005554
        17   -3.780638e+00    1.027017e-01        0.287597
        18    4.785264e+02    1.599026e-01        0.006315
        19   -3.847821e-02    8.913963e-02        0.009034
        20    8.486351e+01    1.767310e-01        0.002970
        21    9.342593e-01    1.283044e-01        0.002033
        22    3.387321e+00    1.338284e-01        0.004008
        23    2.647507e-01    9.873818e-02        0.006782
        24   -1.789692e+01    2.118482e-01        0.371660
        25    2.182547e-01    1.087113e-01        0.002062
        26    3.359945e+01    1.123902e-01        0.005352
        27    2.613525e+00    1.206429e-01        0.002903
        28    4.038955e-01    8.911160e-02        0.001245
        29    8.170958e+00    1.185276e-01        1.451288
        30   -2.851231e+00    1.010856e-01        0.010565
        31    4.030381e+00    1.516821e-01        0.326679
        32    1.149816e+00    1.098762e-01        0.003115
        33   -6.075460e+00    1.487459e-01        1.473564
        34   -8.668148e+00    1.174251e-01        0.388782
        35   -2.143334e+00    8.972520e-02        0.159814
        36    3.150536e-01    9.951172e-02        0.003092
        37    3.529124e+00    1.678888e-01        0.048942
        38   -1.972996e+00    1.249982e-01        0.008465
        39    1.846336e+00    1.183114e-01        0.002619
        40    1.580016e+01    1.292833e-01        0.003575
        41    8.240889e+00    1.505818e-01        0.206625
        42    5.059334e-01    1.010504e-01        0.135097
        43   -3.072941e-02    9.939430e-02        0.006049
        44   -2.464606e-01    8.957282e-02        0.004310
        45    7.965747e+00    1.208290e-01        0.009230
        46    1.470828e+01    9.150358e-02        0.004505
        47    1.130270e+00    1.096059e-01        0.003543
        48    1.420352e+00    1.352997e-01        0.006155
        49    7.689478e-01    1.153249e-01        0.004723
        50    2.370870e+00    1.509430e-01        0.015277
        51    4.016120e-01    1.039346e-01        0.002261
        52    6.427531e-01    1.015381e-01        0.005352
        53    3.090245e+00    1.400390e-01        0.004720
        54    2.846698e-01    7.239956e-02        0.004071
        55   -2.383662e-01    1.061419e-01        0.009197
        56    7.040490e-01    1.131557e-01        0.005880
        57   -3.181219e-02    8.692542e-02        0.005720
        58    3.128150e-01    9.847294e-02        0.004267
        59    3.190310e-01    9.461913e-02        0.157012
        60    3.127308e-01    1.001044e-01        0.004300
        61    1.371514e+00    1.542089e-01        0.091705
        62    1.483542e-01    9.069720e-02        0.003542
        63   -1.020263e+00    1.096764e-01        0.005647
        64   -4.744826e-02    9.688240e-02        0.005332
        65    1.059056e+00    1.284437e-01        0.003737
        66    1.560765e+00    1.155564e-01        0.005686
