Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
1.49337,0.0118303,0,0,0,-2
1.49364,0.0119598,0,0,0,-2
1.49367,0.0119694,0,0,0,-2
1.49394,0.0119513,0,0,0,-2
1.49421,0.0117221,0,0,0,-2
1.49424,0.0117124,0,0,0,-2
1.49451,0.0117599,0,0,0,-2
1.49478,0.0120413,0,0,0,-2
1.49481,0.0120514,0,0,0,-2
1.49508,0.0118718,0,0,0,-2
1.49535,0.0117333,0,0,0,-2
1.49538,0.0117447,0,0,0,-2
1.49565,0.0119969,0,0,0,-2
1.49592,0.0122773,0,0,0,-2
1.49595,0.0123022,0,0,0,-2
1.49618,0.0124686,0,0,0,-2
1.49621,0.0124815,0,0,0,-2
1.49648,0.0124874,0,0,0,-2
1.49675,0.0122216,0,0,0,-2
1.49678,0.0121927,0,0,0,-2
1.49705,0.0120706,0,0,0,-2
1.49732,0.0118493,0,0,0,-2
1.49735,0.011823,0,0,0,-2
1.49762,0.0115784,0,0,0,-2
1.49789,0.0116606,0,0,0,-2
1.49792,0.0116891,0,0,0,-2
1.49816,0.0120511,0,0,0,-2
1.49819,0.0120948,0,0,0,-2
1.49846,0.0124153,0,0,0,-2
1.49873,0.0125973,0,0,0,-2
1.49876,0.01261,0,0,0,-2
1.49903,0.0125971,0,0,0,-2
1.4993,0.0123938,0,0,0,-2
1.49933,0.0123555,0,0,0,-2
1.4996,0.0118773,0,0,0,-2
1.49987,0.0114083,0,0,0,-2
1.4999,0.0113944,0,0,0,-2
1.50014,0.0115814,0,0,0,-2
1.50017,0.0116174,0,0,0,-2
1.50044,0.0122989,0,0,0,-2
1.50071,0.0126051,0,0,0,-2
1.50074,0.0126203,0,0,0,-2
1.50101,0.0124391,0,0,0,-2
1.50128,0.0121228,0,0,0,-2
1.50131,0.0120747,0,0,0,-2
1.50158,0.0115287,0,0,0,-2
1.50185,0.0106238,0,0,0,-2
1.50188,0.0105579,0,0,0,-2
1.50212,0.0102907,0,0,0,-2
1.50215,0.010291,0,0,0,-2
1.50242,0.0110789,0,0,0,-2
1.50269,0.0116542,0,0,0,-2
1.50272,0.0117011,0,0,0,-2
1.50299,0.0118588,0,0,0,-2
1.50326,0.0118675,0,0,0,-2
1.50329,0.0118534,0,0,0,-2
1.50356,0.0116275,0,0,0,-2
1.50383,0.011871,0,0,0,-2
1.50386,0.0118897,0,0,0,-2
1.50411,0.0119873,0,0,0,-2
1.50414,0.0119732,0,0,0,-2
1.50441,0.0114824,0,0,0,-2
1.50468,0.0111863,0,0,0,-2
1.50471,0.0111894,0,0,0,-2
1.50498,0.0115953,0,0,0,-2
1.50525,0.0120334,0,0,0,-2
1.50528,0.0120638,0,0,0,-2
1.50552,0.0122299,0,0,0,-2
1.50555,0.0122444,0,0,0,-2
1.50582,0.0123092,0,0,0,-2
1.50609,0.0124224,0,0,0,-2
1.50612,0.012455,0,0,0,-2
1.50639,0.0128996,0,0,0,-2
1.50666,0.0133042,0,0,0,-2
1.50669,0.0133278,0,0,0,-2
1.50694,0.0133955,0,0,0,-2
1.50697,0.0133806,0,0,0,-2
1.50724,0.0129717,0,0,0,-2
1.50751,0.0125829,0,0,0,-2
1.50754,0.0125677,0,0,0,-2
1.50778,0.0126949,0,0,0,-2
1.50781,0.0127141,0,0,0,-2
1.50808,0.0129449,0,0,0,-2
