Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.40842,0.102359,0,0,0,-2
2.40924,0.104132,0,0,0,-2
2.40929,0.104256,0,0,0,-2
2.41006,0.106429,0,0,0,-2
2.41011,0.106537,0,0,0,-2
2.41093,0.107341,0,0,0,-2
2.41175,0.106542,0,0,0,-2
2.4118,0.106526,0,0,0,-2
2.41257,0.106612,0,0,0,-2
2.41262,0.106587,0,0,0,-2
2.41344,0.105644,0,0,0,-2
2.41426,0.104375,0,0,0,-2
2.4143,0.104301,0,0,0,-2
2.41508,0.103139,0,0,0,-2
2.41513,0.103138,0,0,0,-2
2.4159,0.104233,0,0,0,-2
2.41595,0.104359,0,0,0,-2
2.41677,0.10834,0,0,0,-2
2.41759,0.106508,0,0,0,-2
2.41764,0.106384,0,0,0,-2
2.41841,0.104221,0,0,0,-2
2.41846,0.104237,0,0,0,-2
2.41923,0.107931,0,0,0,-2
2.41928,0.108158,0,0,0,-2
2.42011,0.110903,0,0,0,-2
2.42093,0.109955,0,0,0,-2
2.42098,0.109902,0,0,0,-2
2.42175,0.109132,0,0,0,-2
2.4218,0.109122,0,0,0,-2
2.42258,0.109845,0,0,0,-2
2.42262,0.10989,0,0,0,-2
2.42345,0.110396,0,0,0,-2
2.42427,0.110656,0,0,0,-2
2.42432,0.110673,0,0,0,-2
2.4251,0.110985,0,0,0,-2
2.42514,0.110985,0,0,0,-2
2.42592,0.110647,0,0,0,-2
2.42597,0.11064,0,0,0,-2
2.42679,0.110925,0,0,0,-2
2.42762,0.111679,0,0,0,-2
2.42767,0.111703,0,0,0,-2
2.42845,0.111891,0,0,0,-2
2.42849,0.111921,0,0,0,-2
2.42927,0.112584,0,0,0,-2
2.42932,0.112643,0,0,0,-2
2.4301,0.113845,0,0,0,-2
2.43015,0.113919,0,0,0,-2
2.43097,0.115041,0,0,0,-2
2.4318,0.114418,0,0,0,-2
2.43263,0.113633,0,0,0,-2
2.43345,0.113903,0,0,0,-2
2.4335,0.113844,0,0,0,-2
2.43428,0.111962,0,0,0,-2
2.43433,0.111807,0,0,0,-2
2.43511,0.108631,0,0,0,-2
2.43516,0.108549,0,0,0,-2
2.43594,0.110976,0,0,0,-2
2.43599,0.111237,0,0,0,-2
2.43681,0.118324,0,0,0,-2
2.43764,0.119672,0,0,0,-2
2.43769,0.119637,0,0,0,-2
2.43847,0.118133,0,0,0,-2
2.43852,0.118089,0,0,0,-2
2.4393,0.117817,0,0,0,-2
2.43935,0.117811,0,0,0,-2
2.44013,0.117817,0,0,0,-2
2.44018,0.117807,0,0,0,-2
2.44096,0.11748,0,0,0,-2
2.44101,0.117457,0,0,0,-2
2.44179,0.117064,0,0,0,-2
2.44184,0.117039,0,0,0,-2
2.44262,0.116636,0,0,0,-2
2.44267,0.116663,0,0,0,-2
2.44345,0.118467,0,0,0,-2
2.4435,0.118582,0,0,0,-2
2.44428,0.119954,0,0,0,-2
2.44433,0.119976,0,0,0,-2
2.44516,0.11712,0,0,0,-2
2.44599,0.11364,0,0,0,-2
2.44682,0.115402,0,0,0,-2
2.44766,0.11852,0,0,0,-2
2.44849,0.120839,0,0,0,-2
2.44854,0.12087,0,0,0,-2
2.44932,0.120353,0,0,0,-2
2.44937,0.120192,0,0,0,-2
2.45015,0.11653,0,0,0,-2
2.4502,0.116432,0,0,0,-2
2.45099,0.116389,0,0,0,-2
2.45104,0.116549,0,0,0,-2
2.45182,0.120764,0,0,0,-2
2.45187,0.120961,0,0,0,-2
2.45266,0.123278,0,0,0,-2
2.4527,0.123281,0,0,0,-2
2.45349,0.121713,0,0,0,-2
2.45354,0.121629,0,0,0,-2
2.45432,0.120488,0,0,0,-2
2.45437,0.120538,0,0,0,-2
2.45516,0.122811,0,0,0,-2
2.45521,0.122939,0,0,0,-2
2.45599,0.124777,0,0,0,-2
2.45604,0.124794,0,0,0,-2
2.45683,0.123832,0,0,0,-2
2.45688,0.123762,0,0,0,-2
2.45766,0.122502,0,0,0,-2
2.45771,0.122527,0,0,0,-2
2.4585,0.124185,0,0,0,-2
2.45855,0.124264,0,0,0,-2
2.45934,0.125211,0,0,0,-2
2.45938,0.125237,0,0,0,-2
2.46017,0.125292,0,0,0,-2
2.46022,0.125291,0,0,0,-2
2.46101,0.125215,0,0,0,-2
2.46106,0.125151,0,0,0,-2
2.46185,0.123522,0,0,0,-2
2.46189,0.123394,0,0,0,-2
2.46268,0.121066,0,0,0,-2
2.46273,0.121135,0,0,0,-2
2.46352,0.12407,0,0,0,-2
2.46357,0.12426,0,0,0,-2
2.46436,0.127379,0,0,0,-2
2.4652,0.128496,0,0,0,-2
2.46603,0.128789,0,0,0,-2
2.46687,0.128772,0,0,0,-2
2.46766,0.12788,0,0,0,-2
2.46771,0.127848,0,0,0,-2
2.4685,0.128909,0,0,0,-2
2.46855,0.128987,0,0,0,-2
2.46934,0.129907,0,0,0,-2
2.46939,0.129948,0,0,0,-2
2.47018,0.129804,0,0,0,-2
2.47023,0.129774,0,0,0,-2
2.47102,0.129086,0,0,0,-2
2.47107,0.128947,0,0,0,-2
2.47186,0.125384,0,0,0,-2
2.47191,0.12516,0,0,0,-2
2.4727,0.121551,0,0,0,-2
2.47275,0.121694,0,0,0,-2
2.47354,0.128883,0,0,0,-2
2.47359,0.129223,0,0,0,-2
2.47438,0.133706,0,0,0,-2
2.47522,0.132361,0,0,0,-2
2.47607,0.131131,0,0,0,-2
2.47686,0.131939,0,0,0,-2
2.47691,0.132002,0,0,0,-2
2.4777,0.132635,0,0,0,-2
2.47775,0.13262,0,0,0,-2
2.47854,0.131664,0,0,0,-2
2.47859,0.131628,0,0,0,-2
2.47939,0.13134,0,0,0,-2
2.47944,0.131288,0,0,0,-2
2.48023,0.130099,0,0,0,-2
2.48102,0.128596,0,0,0,-2
2.48107,0.128556,0,0,0,-2
2.48187,0.130406,0,0,0,-2
2.48192,0.130535,0,0,0,-2
2.48271,0.131945,0,0,0,-2
2.48276,0.131998,0,0,0,-2
2.48356,0.132094,0,0,0,-2
2.4836,0.131996,0,0,0,-2
2.4844,0.129314,0,0,0,-2
2.48524,0.131235,0,0,0,-2
2.48604,0.135914,0,0,0,-2
2.48609,0.136116,0,0,0,-2
2.48689,0.132738,0,0,0,-2
2.48694,0.132423,0,0,0,-2
2.48773,0.127592,0,0,0,-2
2.48778,0.127568,0,0,0,-2
2.48858,0.129689,0,0,0,-2
2.48942,0.135902,0,0,0,-2
2.49022,0.137014,0,0,0,-2
2.49027,0.136958,0,0,0,-2
2.49107,0.134557,0,0,0,-2
2.49112,0.134462,0,0,0,-2
2.49191,0.133535,0,0,0,-2
2.49276,0.133178,0,0,0,-2
2.49356,0.133526,0,0,0,-2
2.49361,0.133544,0,0,0,-2
2.49441,0.133504,0,0,0,-2
2.49446,0.133451,0,0,0,-2
2.49526,0.132125,0,0,0,-2
2.4961,0.139336,0,0,0,-2
2.4969,0.143579,0,0,0,-2
2.49695,0.143663,0,0,0,-2
2.49775,0.142023,0,0,0,-2
2.4978,0.141954,0,0,0,-2
2.4986,0.141151,0,0,0,-2
2.4994,0.141741,0,0,0,-2
2.49945,0.141806,0,0,0,-2
2.50025,0.143443,0,0,0,-2
2.5003,0.143497,0,0,0,-2
2.5011,0.143713,0,0,0,-2
2.5019,0.143256,0,0,0,-2
2.50195,0.143201,0,0,0,-2
2.50275,0.141435,0,0,0,-2
2.5028,0.141296,0,0,0,-2
2.5036,0.138809,0,0,0,-2
2.5044,0.140192,0,0,0,-2
2.50445,0.140312,0,0,0,-2
2.50526,0.141778,0,0,0,-2
2.50531,0.141814,0,0,0,-2
2.50611,0.141514,0,0,0,-2
2.50616,0.141622,0,0,0,-2
2.50691,0.144422,0,0,0,-2
2.50696,0.144641,0,0,0,-2
2.50776,0.148549,0,0,0,-2
2.50781,0.14862,0,0,0,-2
2.50862,0.147575,0,0,0,-2
2.50942,0.14393,0,0,0,-2
2.50947,0.143715,0,0,0,-2
2.51027,0.141615,0,0,0,-2
2.51032,0.141535,0,0,0,-2
2.51113,0.140913,0,0,0,-2
2.51193,0.141245,0,0,0,-2
2.51198,0.14137,0,0,0,-2
2.51278,0.145922,0,0,0,-2
2.51283,0.146138,0,0,0,-2
2.51364,0.148727,0,0,0,-2
2.51444,0.147519,0,0,0,-2
2.51449,0.147359,0,0,0,-2
2.5153,0.143769,0,0,0,-2
2.51948,0.152292,0,0,0,-2
2.52028,0.151036,0,0,0,-2
2.52033,0.15102,0,0,0,-2
2.52114,0.152926,0,0,0,-2
2.52195,0.152321,0,0,0,-2
2.522,0.152194,0,0,0,-2
2.5228,0.148263,0,0,0,-2
2.52361,0.146038,0,0,0,-2
2.52366,0.145954,0,0,0,-2
2.52447,0.146306,0,0,0,-2
2.52452,0.146318,0,0,0,-2
2.82958,0.18472,0,0,0,-2
2.82964,0.1848,0,0,0,-2
2.83043,0.186944,0,0,0,-2
2.83049,0.187742,0,0,0,-2
2.83089,0.196488,0,0,0,-2
2.83094,0.197399,0,0,0,-2
2.83174,0.191302,0,0,0,-2
2.83179,0.190792,0,0,0,-2
2.84388,0.163337,0,0,0,-2
2.84394,0.164521,0,0,0,-2
2.84428,0.175739,0,0,0,-2
2.84434,0.17534,0,0,0,-2
2.84473,0.163949,0,0,0,-2
2.84508,0.169732,0,0,0,-2
2.84513,0.170667,0,0,0,-2
2.84553,0.16523,0,0,0,-2
2.84559,0.164317,0,0,0,-2
2.84593,0.161328,0,0,0,-2
2.84599,0.161037,0,0,0,-2
2.85928,0.137603,0,0,0,-2
2.85934,0.137498,0,0,0,-2
2.86237,0.12981,0,0,0,-2
2.86266,0.139676,0,0,0,-2
2.86317,0.130465,0,0,0,-2
2.86323,0.129546,0,0,0,-2
2.86346,0.132519,0,0,0,-2
2.86351,0.13297,0,0,0,-2
2.86403,0.129036,0,0,0,-2
2.86409,0.128748,0,0,0,-2
2.86432,0.128082,0,0,0,-2
2.86437,0.127983,0,0,0,-2
2.86489,0.127457,0,0,0,-2
2.86512,0.125272,0,0,0,-2
2.86518,0.124799,0,0,0,-2
2.86569,0.125085,0,0,0,-2
2.86575,0.125311,0,0,0,-2
2.86598,0.127037,0,0,0,-2
2.86604,0.12712,0,0,0,-2
2.86655,0.125204,0,0,0,-2
2.86661,0.124558,0,0,0,-2
2.86684,0.1208,0,0,0,-2
2.87413,0.110394,0,0,0,-2
2.87493,0.109134,0,0,0,-2
2.87499,0.109925,0,0,0,-2
2.87516,0.117031,0,0,0,-2
2.87522,0.117526,0,0,0,-2
2.8758,0.109471,0,0,0,-2
2.87585,0.110024,0,0,0,-2
2.87603,0.114019,0,0,0,-2
2.87666,0.109078,0,0,0,-2
2.87683,0.110495,0,0,0,-2
2.87689,0.110851,0,0,0,-2
2.87746,0.110137,0,0,0,-2
2.87752,0.109563,0,0,0,-2
2.87769,0.106649,0,0,0,-2
2.87833,0.109514,0,0,0,-2
2.8785,0.104177,0,0,0,-2
2.87856,0.10345,0,0,0,-2
2.87913,0.104978,0,0,0,-2
2.87919,0.105089,0,0,0,-2
2.87936,0.104158,0,0,0,-2
2.88,0.101311,0,0,0,-2
2.88006,0.102058,0,0,0,-2
2.88017,0.104722,0,0,0,-2
2.88023,0.10535,0,0,0,-2
2.8808,0.100461,0,0,0,-2
2.88086,0.100271,0,0,0,-2
2.88103,0.102706,0,0,0,-2
2.88167,0.0995362,0,0,0,-2
2.88173,0.099383,0,0,0,-2
2.88184,0.0993234,0,0,0,-2
2.8819,0.0992373,0,0,0,-2
2.88253,0.0980037,0,0,0,-2
2.88271,0.099853,0,0,0,-2
2.88334,0.097407,0,0,0,-2
2.8834,0.0972846,0,0,0,-2
2.88351,0.0977943,0,0,0,-2
2.88357,0.0979055,0,0,0,-2
2.88421,0.0975135,0,0,0,-2
2.88438,0.0940372,0,0,0,-2
2.88501,0.0943398,0,0,0,-2
2.88507,0.0944619,0,0,0,-2
2.88519,0.0940736,0,0,0,-2
2.88524,0.0939189,0,0,0,-2
2.88588,0.0925526,0,0,0,-2
2.88594,0.0931795,0,0,0,-2
