Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.85747,0.0152843,0,0,0,-2
2.85894,0.0153764,0,0,0,-2
2.86041,0.00667577,0,0,0,-2
2.86187,0.0103122,0,0,0,-2
2.86334,0.0149948,0,0,0,-2
2.8648,-0.00767498,0,0,0,-2
2.86627,0.0228879,0,0,0,-2
2.86773,0.0257424,0,0,0,-2
2.86919,0.00791293,0,0,0,-2
2.87065,0.018701,0,0,0,-2
2.87211,0.0154394,0,0,0,-2
2.87357,0.00401054,0,0,0,-2
2.87503,0.0054385,0,0,0,-2
2.87649,0.013344,0,0,0,-2
2.87795,0.012187,0,0,0,-2
2.87941,0.00958883,0,0,0,-2
2.88087,-0.00222792,0,0,0,-2
2.88232,-0.00418562,0,0,0,-2
2.88378,0.0111473,0,0,0,-2
2.88524,0.00943779,0,0,0,-2
2.88669,0.00458411,0,0,0,-2
2.88814,0.00362712,0,0,0,-2
2.8896,0.00907606,0,0,0,-2
2.89105,0.010702,0,0,0,-2
2.8925,0.00213139,0,0,0,-2
2.89396,0.000149643,0,0,0,-2
2.89541,0.00519461,0,0,0,-2
2.89686,0.0063027,0,0,0,-2
2.89831,0.0174411,0,0,0,-2
2.89976,0.0245057,0,0,0,-2
2.90121,0.0208916,0,0,0,-2
2.90266,0.0113313,0,0,0,-2
2.90411,-0.00354626,0,0,0,-2
2.90555,-0.00815739,0,0,0,-2
2.907,-0.00192743,0,0,0,-2
2.90845,0.0069811,0,0,0,-2
2.90989,0.00923071,0,0,0,-2
2.91134,0.0103447,0,0,0,-2
2.91278,0.0173261,0,0,0,-2
2.91423,0.0087135,0,0,0,-2
2.91567,0.00325078,0,0,0,-2
2.91711,0.00600772,0,0,0,-2
2.91856,0.00610822,0,0,0,-2
2.92,0.0143036,0,0,0,-2
2.92144,0.0353887,0,0,0,-2
2.92288,0.0429057,0,0,0,-2
2.92432,0.0241645,0,0,0,-2
2.92576,-0.000213696,0,0,0,-2
2.9272,0.00107002,0,0,0,-2
2.92864,0.00848491,0,0,0,-2
2.93008,0.00505596,0,0,0,-2
2.93152,0.00204809,0,0,0,-2
2.93296,0.00305661,0,0,0,-2
2.9344,-0.00505138,0,0,0,-2
2.93583,-0.00321514,0,0,0,-2
2.93727,0.00872566,0,0,0,-2
2.93871,0.0114229,0,0,0,-2
2.94014,0.00764131,0,0,0,-2
2.94158,-0.00401961,0,0,0,-2
2.94301,-0.00763186,0,0,0,-2
2.94444,0.00547285,0,0,0,-2
2.94588,0.00691065,0,0,0,-2
2.94731,-0.000867043,0,0,0,-2
2.94874,0.00219708,0,0,0,-2
2.95018,0.00297185,0,0,0,-2
2.95161,-0.00186771,0,0,0,-2
2.95304,0.00187237,0,0,0,-2
2.95447,0.00706201,0,0,0,-2
2.9559,0.008056,0,0,0,-2
2.95733,0.00743699,0,0,0,-2
2.95876,0.00678089,0,0,0,-2
2.96019,0.00431061,0,0,0,-2
2.96162,0.00244458,0,0,0,-2
2.96305,0.00163407,0,0,0,-2
2.96448,-7.19E-05,0,0,0,-2
2.9659,0.00701946,0,0,0,-2
2.96733,0.0100894,0,0,0,-2
2.96876,0.00979813,0,0,0,-2
2.97018,-0.0123533,0,0,0,-2
2.97161,-0.021402,0,0,0,-2
2.97304,-0.00666846,0,0,0,-2
2.97446,-0.0019173,0,0,0,-2
2.97589,-0.00418724,0,0,0,-2
2.97731,-0.00164783,0,0,0,-2
2.97873,-0.000723816,0,0,0,-2
2.98016,-0.00205469,0,0,0,-2
2.98158,-0.00136814,0,0,0,-2
2.983,0.00125703,0,0,0,-2
2.98443,-0.000343833,0,0,0,-2
2.98585,0.00188636,0,0,0,-2
2.98727,0.00392588,0,0,0,-2
2.98869,0.00244027,0,0,0,-2
2.99011,0.00245386,0,0,0,-2
2.99153,0.00213502,0,0,0,-2
2.99295,0.00252138,0,0,0,-2
2.99437,0.00199228,0,0,0,-2
2.99579,0.00113722,0,0,0,-2
2.99721,0.00394055,0,0,0,-2
2.99863,0.00835657,0,0,0,-2
3.00005,0.00826727,0,0,0,-2
3.00147,0.00358484,0,0,0,-2
3.00289,0.00156142,0,0,0,-2
3.0043,0.00362337,0,0,0,-2
3.00572,0.00606479,0,0,0,-2
3.00714,0.00858958,0,0,0,-2
3.00856,0.00757323,0,0,0,-2
3.00997,0.00264617,0,0,0,-2
3.01139,0.00599107,0,0,0,-2
3.0128,0.00722161,0,0,0,-2
3.01422,0.00252221,0,0,0,-2
3.01563,-0.000212294,0,0,0,-2
3.01705,0.000170141,0,0,0,-2
3.01846,0.00571945,0,0,0,-2
3.01988,0.00302017,0,0,0,-2
3.02129,0.00289782,0,0,0,-2
3.02271,0.00374757,0,0,0,-2
3.02412,0.0041775,0,0,0,-2
3.02553,0.00302684,0,0,0,-2
3.02694,0.00173558,0,0,0,-2
3.02836,0.00242505,0,0,0,-2
3.02977,0.00398598,0,0,0,-2
3.03118,0.00227074,0,0,0,-2
3.03259,-0.000527782,0,0,0,-2
3.034,-0.000730517,0,0,0,-2
3.03541,0.00250226,0,0,0,-2
3.03682,0.00519031,0,0,0,-2
3.03824,0.000936593,0,0,0,-2
3.03965,0.000771991,0,0,0,-2
3.04106,0.0120823,0,0,0,-2
3.04246,0.00857745,0,0,0,-2
3.04387,0.0033498,0,0,0,-2
3.04528,0.00774267,0,0,0,-2
3.04669,0.00612908,0,0,0,-2
3.0481,0.00319461,0,0,0,-2
3.04951,0.00553235,0,0,0,-2
3.05092,0.00650669,0,0,0,-2
3.05233,0.000878538,0,0,0,-2
3.05373,0.018975,0,0,0,-2
3.05514,0.0393736,0,0,0,-2
3.05655,0.0221612,0,0,0,-2
3.05795,0.00498227,0,0,0,-2
3.05936,0.000780675,0,0,0,-2
3.06077,0.00124809,0,0,0,-2
3.06217,0.00234765,0,0,0,-2
3.06358,0.00040044,0,0,0,-2
3.06499,-0.00149219,0,0,0,-2
3.06639,-0.00068623,0,0,0,-2
3.0678,0.000315128,0,0,0,-2
3.0692,0.00783052,0,0,0,-2
3.07061,0.0123431,0,0,0,-2
3.07201,0.00191981,0,0,0,-2
3.07342,-0.000247709,0,0,0,-2
