Wavelength(um),Flux(Jy),Error(Jy),BG(Jy),Order,Module
2.41202,0.0200433,0,0,0,-2
2.41284,0.0205449,0,0,0,-2
2.41289,0.0205006,0,0,0,-2
2.41366,0.0191371,0,0,0,-2
2.41371,0.0191298,0,0,0,-2
2.41448,0.0200319,0,0,0,-2
2.41453,0.020084,0,0,0,-2
2.41535,0.0203112,0,0,0,-2
2.41617,0.0194724,0,0,0,-2
2.41699,0.0209787,0,0,0,-2
2.41704,0.0210454,0,0,0,-2
2.41781,0.0218323,0,0,0,-2
2.41786,0.0218306,0,0,0,-2
2.41869,0.0209455,0,0,0,-2
2.41951,0.0213713,0,0,0,-2
2.42033,0.021855,0,0,0,-2
2.42038,0.0218273,0,0,0,-2
2.42115,0.0209116,0,0,0,-2
2.4212,0.0208162,0,0,0,-2
2.42198,0.0188594,0,0,0,-2
2.42203,0.0188256,0,0,0,-2
2.4228,0.021111,0,0,0,-2
2.42285,0.0212439,0,0,0,-2
2.42367,0.0216611,0,0,0,-2
2.4245,0.020876,0,0,0,-2
2.42532,0.0190399,0,0,0,-2
2.42615,0.019716,0,0,0,-2
2.4262,0.0197364,0,0,0,-2
2.42697,0.0197411,0,0,0,-2
2.42702,0.0197542,0,0,0,-2
2.4278,0.0202546,0,0,0,-2
2.42785,0.0203137,0,0,0,-2
2.42862,0.0220475,0,0,0,-2
2.42867,0.0221354,0,0,0,-2
2.4295,0.0223773,0,0,0,-2
2.43032,0.0228197,0,0,0,-2
2.43115,0.0234289,0,0,0,-2
2.4312,0.0233661,0,0,0,-2
2.43198,0.0214933,0,0,0,-2
2.43202,0.0214801,0,0,0,-2
2.4328,0.0223061,0,0,0,-2
2.43285,0.0222926,0,0,0,-2
2.43363,0.0213356,0,0,0,-2
2.43368,0.0213155,0,0,0,-2
2.43446,0.0214933,0,0,0,-2
2.43451,0.0214903,0,0,0,-2
2.43529,0.0209039,0,0,0,-2
2.43533,0.0208742,0,0,0,-2
2.43611,0.0207653,0,0,0,-2
2.43616,0.0207411,0,0,0,-2
2.43694,0.0195809,0,0,0,-2
2.43699,0.0195472,0,0,0,-2
2.43777,0.0209613,0,0,0,-2
2.43782,0.021031,0,0,0,-2
2.43865,0.0202373,0,0,0,-2
2.43948,0.0212599,0,0,0,-2
2.44031,0.0208359,0,0,0,-2
2.44114,0.0217662,0,0,0,-2
2.44197,0.0204928,0,0,0,-2
2.44202,0.0204248,0,0,0,-2
2.4428,0.019418,0,0,0,-2
2.44285,0.0193924,0,0,0,-2
2.44363,0.0193423,0,0,0,-2
2.44368,0.0194467,0,0,0,-2
2.44446,0.0221063,0,0,0,-2
2.44451,0.0223019,0,0,0,-2
2.44529,0.0256725,0,0,0,-2
2.44534,0.0255996,0,0,0,-2
2.44612,0.0220759,0,0,0,-2
2.44617,0.0219109,0,0,0,-2
2.44695,0.0198892,0,0,0,-2
2.447,0.0199186,0,0,0,-2
2.44779,0.0220927,0,0,0,-2
2.44784,0.0221256,0,0,0,-2
2.44862,0.0216378,0,0,0,-2
2.44867,0.021618,0,0,0,-2
2.44945,0.0213933,0,0,0,-2
2.45028,0.0218541,0,0,0,-2
2.45033,0.0218012,0,0,0,-2
2.45112,0.0200835,0,0,0,-2
2.45117,0.0200333,0,0,0,-2
2.45195,0.0197686,0,0,0,-2
2.452,0.0197948,0,0,0,-2
2.45279,0.0205685,0,0,0,-2
2.45362,0.0212738,0,0,0,-2
2.45445,0.020591,0,0,0,-2
2.45529,0.0210509,0,0,0,-2
2.45612,0.0216086,0,0,0,-2
2.45691,0.0223578,0,0,0,-2
2.45696,0.0224178,0,0,0,-2
2.45779,0.0240047,0,0,0,-2
2.45858,0.0236026,0,0,0,-2
2.45863,0.0235547,0,0,0,-2
2.45942,0.0227087,0,0,0,-2
2.45947,0.0226578,0,0,0,-2
2.46025,0.0220362,0,0,0,-2
2.4603,0.0220319,0,0,0,-2
2.46109,0.0225761,0,0,0,-2
2.46114,0.0225886,0,0,0,-2
2.46193,0.0224993,0,0,0,-2
2.46198,0.0224718,0,0,0,-2
2.46276,0.0217011,0,0,0,-2
2.46281,0.0217094,0,0,0,-2
2.4636,0.0224813,0,0,0,-2
2.46365,0.0225058,0,0,0,-2
2.46444,0.0226981,0,0,0,-2
2.46528,0.0216227,0,0,0,-2
2.46611,0.021775,0,0,0,-2
2.4669,0.0226652,0,0,0,-2
2.46695,0.0227221,0,0,0,-2
2.46774,0.0233755,0,0,0,-2
2.46779,0.0234475,0,0,0,-2
2.46858,0.0252,0,0,0,-2
2.46863,0.0251637,0,0,0,-2
2.46942,0.0228629,0,0,0,-2
2.47026,0.0228526,0,0,0,-2
2.4711,0.0220304,0,0,0,-2
2.47189,0.0219841,0,0,0,-2
2.47194,0.0219776,0,0,0,-2
2.47273,0.0213705,0,0,0,-2
2.47278,0.0213554,0,0,0,-2
2.47357,0.0216431,0,0,0,-2
2.47362,0.0216447,0,0,0,-2
2.47442,0.0213675,0,0,0,-2
2.47446,0.021337,0,0,0,-2
2.47526,0.0207163,0,0,0,-2
2.47605,0.0214771,0,0,0,-2
2.4761,0.0215234,0,0,0,-2
2.47689,0.0213782,0,0,0,-2
2.47694,0.0213397,0,0,0,-2
2.47773,0.0203359,0,0,0,-2
2.47778,0.0203609,0,0,0,-2
2.47858,0.0224299,0,0,0,-2
2.47863,0.0224079,0,0,0,-2
2.47942,0.0205086,0,0,0,-2
2.48021,0.0218899,0,0,0,-2
2.48026,0.0219715,0,0,0,-2
2.48106,0.0214429,0,0,0,-2
2.4811,0.0214293,0,0,0,-2
2.4819,0.0215209,0,0,0,-2
2.48195,0.0215761,0,0,0,-2
2.48274,0.023121,0,0,0,-2
2.48359,0.0244322,0,0,0,-2
2.48438,0.0236312,0,0,0,-2
2.48443,0.0235779,0,0,0,-2
2.48523,0.023205,0,0,0,-2
2.48528,0.0232169,0,0,0,-2
2.48607,0.0237473,0,0,0,-2
2.48692,0.02359,0,0,0,-2
2.48771,0.0242238,0,0,0,-2
2.48776,0.0242321,0,0,0,-2
2.48856,0.0236173,0,0,0,-2
2.48861,0.0235789,0,0,0,-2
2.48941,0.0229734,0,0,0,-2
2.4902,0.0241153,0,0,0,-2
2.49025,0.0241898,0,0,0,-2
